id,why_reused,section,flag_count,flags,draft_sentence,nearest_deposit_sentence,ratio,disposition
D0265,supported at high confidence,2.4,0,,"In both cases the viability kernel (Aubin, 1991) of the constraint set $\{\mathsf S\ge \mathsf S_{\min},\,0\le K\le K_{\max}\}$ — the states from which *some* admissible harvest keeps both constraints forever — **is empty**.","In both cases the viability kernel (Aubin, 1991) of the constraint set $\{S \ge S_{\min},\ 0 \le K \le K_{\max}\}$ — the states from which some admissible harvest keeps both constraints for all time — is empty.",0.928,
D0182,signposting: asserts nothing,2,0,,The table below sits at the head of Section 2 so that every alias is declared before it is used.,The table sits at the head of Section 2 so that every alias is declared before use:,0.927,
D0378,supported at high confidence,4.2,0,,"The seven-compartment incidence claimed by Theorem 8 is displayed here — in the compartment order of its statement, with the closed block's primitive fluxes, the pattern of the six-compartment $S(\alpha,\rho_P)$ of Theorem 9 with the inert column (no outflow from the inert compartment) appended, and the harvest column split by $(\alpha,1-\alpha)$.","The seven-compartment incidence claimed by Theorem 8 — in the compartment order of its statement, with the closed block's primitive fluxes, the pattern of the displayed six-compartment $S(\alpha, \rho_P)$ of Theorem 9 with the inert column (no outflow from the inert compartment) appended and the harvest column split by $(\alpha, 1-\alpha)$ — is displayed here.",0.926,
D0272,supported at high confidence,2.4,0,,"For material-flow accounting this is the precise sense in which a ""balanced"" mass ledger can still be **physically inadmissible**: the bookkeeping is exact, but no harvest schedule respects the resource floor and the sink ceiling at the same time.","For material-flows accounting this is the precise sense in which a ""balanced"" mass ledger can still be physically inadmissible: the bookkeeping is exact, but no harvest schedule respects both the resource floor and the sink ceiling simultaneously.",0.925,
D0331,supported at high confidence,,0,,"**Proposition 4 (Conservation-law reduction).** *If $\ell^{\top}S^{\top}=0$ for some vector $\ell\in\mathbb R^n$, then $\ell^{\top}x(t)=\ell^{\top}x(0)+\int_0^t\ell^{\top}b(\tau)d\tau$; in a closed system ($b=0$), $\ell^{\top}x$ is invariant.*","**Proposition 4 (Conservation-law reduction).** *If $\ell^\top S_{\mathcal{T}} = 0$ for some vector $\ell \in \mathbb{R}^n$, then* $$\ell^\top x(t) = \ell^\top x(0) + \int_0^t \ell^\top b(\tau) d\tau;$$ *in a closed system ($b = 0$), $\ell^\top x$ is invariant.*",0.925,
D0384,supported at high confidence,4.3,0,,"**Theorem 9 (Six-compartment conservation).** *For the system of §2.3, $\tfrac{d}{dt}\mathbb 1^{\top}z=0$; the total mass $M_6=X+U+A+G+P+W$ is constant along every trajectory on which the classical solution is defined.*","**Theorem 9 (Six-compartment conservation).** *For the system of Section 2.3, $\frac{d}{dt}\mathbf{1}^\top z = 0$; the total mass $M_6 = X + U + A + G + P + W$ is constant along every trajectory on which the classical solution is defined.*",0.925,
D0551,supported at high confidence,6.5.3,0,,"It is **not a physical exhaustion forecast**, because reserve classification changes with prices, technology, exploration and regulation — the point made independently, and forcefully, by Illakwahhi, Vegi and Srivastava (2024) for the single-source USGS data behind the influential phosphate depletion estimates, and standard in mineral economics, where reserves have grown through a century of rising production for copper (Tilton, 2003; Tilton and Lagos, 2007).","The arithmetic is internally consistent as a reserve-life ratio to zero; it is not a physical exhaustion forecast, because reserve classification changes with prices, technology, exploration, and regulation — the point made independently, and forcefully, by Illakwahhi, Vegi, and Srivastava (2024) for the single-source USGS data behind the influential phosphate depletion estimates, and standard in mineral economics, where reserves have grown through a century of rising production for copper (Tilton, 2003; Tilton and Lagos, 2007).",0.925,
D0611,supported at high confidence,7.7,0,,"The gross active-pool horizon $\mathcal H^{\mathrm{gross}}_A$ of Definition 3 and its productivity-illusion interpretation — the misreading of a large gross-turnover horizon as evidence of slow net depletion, the false implication recorded in §6.1 — are not first-passage results treated here. 7.","The gross active-pool horizon $H_A^{\mathrm{gross}}$ of Definition 3 and its productivity-illusion interpretation — the misreading of a large gross-turnover horizon as evidence of slow net depletion, the false implication recorded in Section 6.1 — are not first-passage results treated here. 7.",0.924,
D0119,supported at high confidence,1.1,0,,A ledger that satisfies all declared barriers can fail conservation.,A ledger satisfying all declared barriers can fail conservation.,0.923,
D0150,supported at high confidence,1.2,0,,"Both readings are needed, and neither demotes stocks.","Both readings are required, and neither demotes stocks.",0.923,
D0118,supported at high confidence,1.1,0,,A chemically consistent ledger can break every declared barrier.,A chemically consistent ledger can violate every declared barrier.,0.922,
D0143,supported at high confidence,1.2,0,,"In ledger terms a substitute is one of two things: a recycled or recovered flux returned to the regenerating pool, or a non-renewable drawdown taken from a second compartment.","In ledger terms, a substitute is either a recycled or recovered flux returned to the regenerating pool, or a non-renewable drawdown on a second compartment.",0.916,
D0309,supported at high confidence,3.1,0,,The logical relations between them are the content of the next two propositions.,The logical relations are the content of the next two propositions.,0.91,
D0072,supported at high confidence,1.1,0,,A draw that falls on the pool itself is liquidation.,One that falls on the pool itself is liquidation.,0.909,
D0373,supported at high confidence,4.1,0,,"The identity is stated for the declared harvest routing $\alpha=0$ of §2.2; with a detritus-routed harvest fraction $\alpha>0$ the block export is $(1-\alpha)qEN$ and the identity reads $\dot M=-(1-\alpha)qEN-C_{A,\mathrm{lim}}$.*","The identity is stated for the declared harvest routing $\alpha = 0$ of Section 2.2; with a detritus-routed harvest fraction $\alpha > 0$ the block export is $(1-\alpha)qEN$ and the identity reads $\dot M = -(1-\alpha)qEN - C^{A,\mathrm{lim}}$.*",0.905,
D0260,supported at high confidence,2.4,0,,**Sink obstructions that do not care what the stock does.** The mass balance has a sink-side physical reading with two empty-kernel mechanisms that operate whatever the resource stock does.,**Sink obstructions independent of the stock.** The mass balance has a sink-side physical reading with two empty-kernel mechanisms that operate whatever the resource stock does.,0.903,
D0643,supported at high confidence,9,0,,"The shared object includes the non-negative orthant and the sign pattern of harvest as an outflow from the living stock. **A companion model that routes the ""unsustainable portion"" of a flow into a different compartment changes the incidence and thereby leaves the interface** (§2.5).","The contract fixes more than the deficit identity: the shared object includes the nonnegative orthant and the sign pattern of harvest as an outflow from the living stock — a companion model that routes the ""unsustainable portion"" of a flow into a different compartment changes the incidence and thereby leaves the interface (Section 2.5).",0.902,
D0319,supported at high confidence,,0,,The force of that conjunction is the subject of §10.1.,The force of the conjunction is the subject of Section 10.1.,0.899,
D0467,supported at high confidence,6,0,,"They are not, and the worked instances below make the differences explicit.","They are not, and the worked instances of this section make the differences explicit.",0.897,
D0702,supported at high confidence,10.3,0,,"A quantity that answers exactly one question, stated with that question, **is** the framework working — and the framework's claim about itself is limited to the accounting layer it establishes.","None of these is a failure of the framework: a quantity that answers exactly one question, stated with that question, is the framework working — and the framework's claim about itself is limited to the accounting layer it establishes.",0.893,
D0385,supported at high confidence,4.3,0,,**Two scope notes are part of the theorem.** The conservation argument applies to the *expanded typed incidence system* when quality grades are split — not automatically to an undifferentiated quality-neutral loop.,The conservation argument applies to the expanded typed incidence system when quality grades are split — not automatically to an undifferentiated quality-neutral loop.,0.891,
D0204,supported at high confidence,,0,,"Every primitive outflow must vanish or be limited when its donor compartment is empty, and a target-relaxation flux from a finite donor is admissible **only after** donor limitation is made explicit.","Third, forward invariance is a separate requirement: every primitive outflow must vanish or be limited when its donor compartment is empty, and a target-relaxation flux from a finite donor is admissible only after donor limitation is made explicit.",0.883,
D0187,signposting: asserts nothing,2.1,0,,The ledger separates four ideas that accounting practice tends to merge.,The ledger separates four concepts that accounting practice often merges.,0.881,
D0423,supported at high confidence,4.9,0,,"Formal cancellation coexists with boundary failure elsewhere in the same template (its geological exchange is **not** donor-limited), and the cancellation by itself establishes nothing about admissibility.","The identity is retained precisely for its discipline: formal cancellation coexists with boundary failure elsewhere in the same template (its geological exchange is not donor-limited), and the cancellation by itself establishes nothing about admissibility.",0.879,
D0057,supported at high confidence,1.1,0,,"It is the compensatory-aggregation failure above: a deficit in one component is offset by a surplus in another, and a positive aggregate reads as adequacy.","The first is arithmetic and is the compensatory-aggregation failure above — a deficit in one component offset by a surplus in another, so that a positive aggregate reads as adequate.",0.875,
D0509,supported at high confidence,6.5.1,0,,The G3P column of the matrix is the groundwater case.,The G3P column of the classification matrix is the groundwater case.,0.874,
D0060,supported at high confidence,1.1,0,,"A measured yield can exceed the true sustainable yield when it is held up by drawing down the support pool — groundwater, soil carbon, available nutrients — instead of by the pool's own regrowth.","A measured yield can exceed the true sustainable yield when it is maintained by drawing down the support pool — groundwater, soil carbon, bioavailable nutrients — rather than by that pool's regeneration.",0.865,
D0056,supported at high confidence,1.1,0,,"The illusion has two senses, and they are distinct.","It has two senses, and they are distinct.",0.864,
D0159,supported at high confidence,1.2,0,,"1. **A typed primitive-flux ledger.** *(definitions; §2)* Every compartment has a material identity, a boundary and a unit.","1. **A typed primitive-flux ledger.** Compartments carry a material identity, a boundary, and a unit.",0.864,
D0576,supported at high confidence,,0,,"It is not a hydrological constitutive law, is not mass-conserving, and is not a perturbation or stochastic completion of the ledger's active-pool equation or of the finite-donor primitive system of §2.2. **The non-completion non-claim is part of the definition.***","It is not a hydrological constitutive law, is not mass-conserving, and is not a perturbation or stochastic completion of the ledger's active-pool equation or of the finite-donor primitive system of Section 2.2.",0.864,
D0103,supported at high confidence,1.1,0,,"A reserve-life ratio is arithmetic: reserves left, divided by current production.",Reserve-life ratios are arithmetic: remaining reserves divided by current production.,0.855,
D0483,supported at high confidence,6.2,0,,"It fails when depletion reverses, when the rate approaches zero, or when feedback moves the trajectory outside the declared rate bounds.","This is a local diagnostic only: it fails when depletion reverses, the rate approaches zero, or feedback moves the trajectory outside the declared rate bounds.",0.854,
D0113,supported at high confidence,1.1,0,,"**The same conflation runs through accounting itself.** Material flow analysis supplies the bookkeeping of a society's material throughput (Brunner and Rechberger, 2004; Eurostat, 2001; Fischer-Kowalski et al., 2011).","Material flow analysis supplies the bookkeeping of society's material throughput (Brunner and Rechberger, 2004; Eurostat, 2001; Fischer-Kowalski et al., 2011).",0.848,
D0090,supported at high confidence,1.1,0,,The asymmetry that makes this second sense dangerous has a mechanical picture.,The temporal asymmetry that makes the yield-inflation sense dangerous has a mechanical picture.,0.847,
D0410,signposting: asserts nothing,4.7,0,,"A constant extraction flux $c>0$ — a comparison flux only, not a donor-limited primitive the ledger's own discipline admits as a sustained law — exhausts the budget in finite time ($M$ reaches its lower bound no later than $M(0)/c$), while proportional extraction $qEN$ need not drive $M$ to zero in finite time.","A constant extraction flux $c > 0$ — a comparison flux only, not a donor-limited primitive the ledger's own discipline admits as a sustained law — exhausts the budget in finite time ($M$ reaches its lower bound no later than $M(0)/c$), while proportional extraction $qEN$ need not drive $M$ to zero in finite time — the integral bound of the theorem is the whole statement, and the hitting time of $M = 0$ may be infinite.",0.846,
D0114,supported at high confidence,1.1,0,,"Its wiring is shared with reaction-network theory, where the signs in the stoichiometric matrix are themselves a conservation object (Feinberg, 2019).","Its incidence structure is shared with reaction-network theory, where the sign pattern of the stoichiometric matrix is a conservation object (Feinberg, 2019).",0.845,
D0144,supported at high confidence,1.2,0,,"They are different entries, and they carry different statuses (Sections 2.3 and 6).","The two are different ledger entries and carry different statuses (Section 2.3, Section 6).",0.841,
D0053,supported at high confidence,1.1,0,,"A third failure mode is what we call the **productivity illusion**: the appearance that a system is producing enough, while the base that lets it produce is being reduced.",A further failure mode is what we call the *productivity illusion*: the appearance that a system is delivering adequately while the base that sustains the delivery is being reduced.,0.839,
D0104,supported at high confidence,1.1,0,,"Because reserves are an *economic* classification — they move with price, technology, exploration, and regulation — the quotient is not an exhaustion forecast.","Because reserves are an economic classification that changes with prices, technology, exploration, and regulation — not a fixed physical stock — the ratio is not an exhaustion forecast.",0.836,
D0524,supported at high confidence,6.5.2,0,,"Rows marked with a dagger (†) are quarantined and must not be taken at face value: the Australia phosphate row dates to a pre-2026 reserve vintage (§6.5.3), and the Indo-Gangetic groundwater magnitude sits an order of magnitude beyond published basin-mean trends (the quarantine note below).","Rows marked with a dagger (†) are quarantined and must not be taken at face value: the Australia phosphate row dates to a pre-2026 reserve vintage (§6.5.3), and the Indo-Gangetic groundwater magnitude sits an order of magnitude beyond published basin-mean trends (the quarantine note below); both are retained only as worked instances of the constructions, and neither enters any classification below.",0.836,
D0142,supported at high confidence,1.2,0,,No substitute counts just because an aggregate production function or a weighted index allows it.,No substitute is admitted merely because an aggregate production function or a weighted index permits it.,0.83,
D0184,supported at high confidence,2.1,0,,Unlike substances must be tracked separately.,Heterogeneous substances must be tracked separately.,0.821,
D0185,supported at high confidence,2.1,0,,Conversions between chemical forms must be written out.,Conversions between chemical forms must be made explicit.,0.818,
D0458,supported at high confidence,5.4,0,,"The collapse is a **property of the specialization**, not a definition of liquidation on the unreduced ledger.","The collapse is a property of the specialization, not a definition of liquidation on the unreduced ledger; the general diagnostic remains $C - \widehat{M}^\top S$.",0.812,
D0071,supported at high confidence,1.1,0,,A draw that falls on the pool's regrowth is sustained use.,A use that falls on the pool's regeneration is sustained.,0.811,
D0449,supported at high confidence,,0,,The **non-interpretation discipline** is equally part of the definition: the statement neither subtracts raw material from service nor proves that a physical stock is declining.,The non-interpretation discipline is equally part of the definition: the statement neither subtracts raw material from service nor proves that a physical stock is declining; net depletion still requires a negative stock balance or a trajectory argument.,0.811,
D0396,supported at high confidence,4.5,0,,**Theorem 12 (No interior rest at positive effort).** *Assume (H1) $E\equiv E^*>0$ is constant.,**Theorem 12 (No interior rest at positive effort).** *Assume:*,0.809,
D0042,supported at high confidence,1.1,0,,"The literatures on composite indicators and on weak versus strong sustainability document both the failure and the non-compensatory fixes that have been proposed (Munda and Nardo, 2009; Ekins et al., 2003; Neumayer, 2013).","The composite-indicator and weak-versus-strong-sustainability literatures document the failure and its noncompensatory remedies (Munda and Nardo, 2009; Ekins et al., 2003; Neumayer, 2013).",0.806,
D0439,supported at high confidence,,0,,"A stock can meet current demand while declining toward a threshold, and a stock below a desired level can have a positive current balance while recovering.","It does not by itself imply that the underlying trajectory is sustainable: a stock can meet current demand while declining toward a threshold, and a stock below a desired level can have a positive current balance while recovering.",0.805,
D0659,supported at high confidence,9,0,,"The permitted relation is analogy for shared mechanism language, plus diagnostic reconstruction of omitted mass flows.",The mapping type for exact dynamic reduction is rejected; the permitted relation is analogy for shared mechanism language plus diagnostic reconstruction of omitted mass flows.,0.803,
D0680,supported at high confidence,10.1,0,,"The compensating pattern is constructible against **any** weight, so the failure is universal to the method of weighted certification.","The conditional form is not an accident of a particular domain: the compensating pattern is constructible against *any* weight, so the failure is universal to the method of weighted certification.",0.803,
D0453,supported at high confidence,,0,,"with $C$ the operative extraction-law readout and $\hat M$ the declared demand-coverage matrix mapping the moiety readout $S=Cx$ — the composition matrix $C$ of Lemma 3, **a different object from the coverage vector $C(t)$ despite the shared letter** — into the units of that coverage vector: rows indexed by covered services, columns by moieties, entries the declared stoichiometric coefficients of the coverage convention.","On the unreduced ledger the physical deficit is the diagnostic $$\Delta^{\mathrm{phys}}(t) = C(t) - \widehat{M}^\top S(t),$$ with $C$ the operative extraction-law readout and $\widehat{M}$ the declared demand-coverage matrix mapping the moiety readout $S = Cx$ — the composition matrix $C$ of Lemma 3, a different object from the coverage vector $C(t)$ despite the shared letter — into the units of that coverage vector — rows indexed by covered services, columns by moieties, entries the declared stoichiometric coefficients of the coverage convention (the hat distinguishes the matrix from the scalar natural-block mass $M$ of Section 4.1).",0.8,
D0046,supported at high confidence,1.1,0,,- A **reserve-life ratio** divides a reserve figure by a production figure.,A reserve-life ratio divides a reserve figure by a production figure and calls the quotient a horizon.,0.798,
D0470,supported at high confidence,,0,,"At an interior steady state, $g$ can be positive while decomposition and geological transfer balance it exactly, so that $\dot A=0$.","The implication $g > 0 \Rightarrow \dot A < 0$ is false in general: at an interior steady state, $g$ can be positive while decomposition and geological transfer balance it exactly, so that $\dot A = 0$.",0.796,
D0160,supported at high confidence,1.2,0,,"Non-negative primitive fluxes connect compartments through a signed incidence matrix — the compartment-and-flow bookkeeping of material flow analysis (Brunner and Rechberger, 2004; Fischer-Kowalski et al., 2011) and the incidence formalism of reaction-network theory (Feinberg, 2019).","Non-negative primitive fluxes connect them through a signed incidence matrix (the compartment–flux bookkeeping of material flow analysis: Brunner and Rechberger, 2004; Fischer-Kowalski et al., 2011; the incidence formalism of reaction-network theory: Feinberg, 2019).",0.792,
D0469,supported at high confidence,6.1,0,,"**Definition 3 (Gross turnover intensity and support coverage).** *With assimilation $g(X,A)>0$, the gross turnover intensity is $J^{\mathrm{gross}}_A=g(X,A)/A$ and the gross support-coverage ratio is $H^{\mathrm{gross}}_A=(A-A_{\min})/g(X,A)$. **Neither is a time to depletion.***","**Definition 3 (Gross turnover intensity and support coverage).** *With assimilation $g(X,A) > 0$, the gross turnover intensity is $J_A^{\mathrm{gross}} = g(X,A)/A$ and the gross support-coverage ratio is $H_A^{\mathrm{gross}} = (A - A_{\min})/g(X,A)$.*",0.79,
D0112,supported at high confidence,1.1,0,,"For copper, Tilton and Lagos (2007) document reserves growing through a century of rising production.","For copper, Tilton and Lagos (2007) document reserves growing through a century of rising production — the same replenishment under the same classification.",0.782,
D0358,supported at high confidence,3.6,0,,"**Counterexample (proportional extraction).** For donor-controlled proportional extraction $\dot S=-kS$ with $k>0$ and $S(0)>0$, the stock satisfies $S(t)=S(0)e^{-kt}>0$ for every finite $t$: it approaches zero asymptotically and is never exhausted in finite time, $\tau_0=\infty$.","**Counterexample (proportional extraction).** *For donor-controlled proportional extraction $\dot S = -kS$ with $k > 0$ and $S(0) > 0$, the stock satisfies $S(t) = S(0)e^{-kt} > 0$ for every finite $t$: the stock approaches zero asymptotically and is never exhausted in finite time, $\tau_0 = \infty$.",0.782,
D0037,supported at high confidence,,0,,"Each depletion claim carries the predicate it actually establishes, with an interface contract fixing the shared object with delay-based institutional dynamics.","The result is a grammar for material depletion claims: each claim carries the predicate it actually establishes and no claim is carried beyond it, with an interface contract fixing the shared object with delay-based institutional dynamics.",0.781,
D0506,supported at high confidence,6.4,0,,"The componentwise diagnostic applies to each scenario, and the conjunctive criterion applies within each scenario and across scenarios. **No single number is promoted across the four classes without a declared map.**","The componentwise diagnostic applies to each scenario, and the conjunctive criterion applies within each scenario and across scenarios.",0.778,
D0287,supported at high confidence,2.5,0,,"Damage to the capital stock itself — aquifer compaction, severe soil loss — is not a split-assignment channel at all.","Damage to the capital stock itself (aquifer compaction, severe soil loss) is not a split-assignment channel at all, but a slow drift in capacity or a transfer to the inert sink.",0.777,
D0097,supported at high confidence,1.1,0,,"The productivity illusion is the wear phase: measured yield stays up, and nothing in the yield record registers the drawdown.",The yield-inflation sense is the wear phase: measured yield stays up while nothing in the yield series records the drawdown.,0.774,
D0059,supported at high confidence,1.1,0,,The second sense is dynamical: inflated yield.,The second sense is dynamical and is yield inflation.,0.771,
D0638,supported at high confidence,9,0,,"**The exact shared object.** Under the single-resource specialization of §5.4 ($\mu=\nu=\rho=0$ — the product, waste and price parameters of the unreduced ledger: its macroeconomic-feedback, recycling and price-response channels, per the §2.2 gloss — and the mining intensity $C_A=0$), with the local stock equation $\dot N=R-qEN$, the deficit identity","**The exact shared object.** Under the single-resource specialization of Section 5.4 ($\mu = \nu = \rho = 0$ — the product, waste, and price parameters of the unreduced ledger: its macroeconomic-feedback, recycling, and price-response channels, per the Section 2.2 gloss — and the mining intensity $C^A = 0$) — with the local stock equation $\dot N = R - qEN$, the deficit identity $$D(t) := qE(t)N(t) - R(N(t), A(t)) = -\dot N(t), \qquad \Lambda(t) := [D(t)]_+ = [-\dot N(t)]_+$$ holds for every trajectory of either the specialized ledger or the reduced core (Remark 16).",0.77,
D0202,supported at high confidence,,0,,The sign pattern of the incidence matrix and the non-negativity of the primitives are separate declarations. 3.,"Second, $S_{\mathcal{T}}$ may contain signed entries even though $v \ge 0$: the sign pattern of the incidence matrix and the nonnegativity of the primitives are separate declarations.",0.765,
D0712,supported at high confidence,11,0,,Stating them with those questions — against the published critiques they corroborate — is what makes them usable.,"Stating them with those questions — against the published critiques they corroborate — is what makes them usable; collapsing them into one ""time to depletion"" is what makes them false.",0.764,
D0061,supported at high confidence,1.1,0,,The resource looks productive while what sustains it is being sold off.,The resource appears productive while what sustains it is liquidated silently.,0.762,
D0588,supported at high confidence,7.3,0,,"These are conditional distributional statements about the surrogate. **They are not corrections to the tabled years, and they do not show that physical water mass is depleted faster.**","They are not corrections to the tabled years, and they do not show that physical water mass is depleted faster.",0.762,
D0616,signposting: asserts nothing,7.8,0,,"A residual scale estimated from the same window does not by itself identify process noise. **No calibrated predictive distribution is claimed**; the full uncertainty treatment belongs to an empirical identification study, not to this article.","No calibrated predictive distribution is claimed; the full uncertainty treatment belongs to an empirical identification study, not to this article.",0.762,
D0650,supported at high confidence,9,0,,"The three registered numbers display the separation: $A_{\mathrm{eq,intrinsic}}=50$, the working active pool $A_{\mathrm{act},*}=397.87$, and $A_{\mathrm{eq},W}=50+\kappa_AK/\omega_A=5{,}050$ — the two equilibria differ by a factor of eight and the two targets by two orders of magnitude. 2. **Same state, different fields.** At the working equilibrium the two $A_{\mathrm{act}}$ vector fields, written at the same state $(N,A_{\mathrm{act}},U)$, differ by","The three registered numbers display the separation: $A^{\mathrm{eq,intrinsic}} = 50$, the working active pool $A^{\mathrm{act,*}} = 397.87$, and $A^{\mathrm{eq,W}} = 50 + \kappa_A K/\omega_A = 5050$ — the two equilibria differ by a factor of eight and the two targets by two orders of magnitude. 2.",0.76,
D0277,supported at high confidence,2.5,0,,"A diagnostic label such as ""unsustainable portion"" **never** determines physical destination.","The typing is the physical module's, not the diagnostic's: a diagnostic label such as ""unsustainable portion"" never determines physical destination.",0.758,
D0394,supported at high confidence,4.4,0,,"The classical lineage of these statements is the compartmental-systems non-negativity theory (Jacquez and Simon, 1993).","The classical compartmental-systems nonnegativity theory (Jacquez and Simon, 1993) is the lineage.",0.757,
D0549,supported at high confidence,6.5.3,0,,"at approximately 74,000,000 kt (74,000 Mt) of world reserves and 240,000 kt/yr of production (U.S. Geological Survey, 2026) this is approximately **309 years**.","At constant current production $C_G$, the reserve-life ratio is $T_{\mathrm{reserve}} = G_{\mathrm{reserve}}/C_G$; at approximately $74{,}000{,}000$ kt ($74{,}000$ Mt) of world reserves and $240{,}000$ kt/yr of production (U.S. Geological Survey, 2026) this is approximately $309$ years.",0.757,
D0717,supported at high confidence,11,0,,"A substitute is either a recycled flux returned to the regenerating pool, or a non-renewable drawdown on a second compartment — different ledger entries with different statuses.","In ledger terms, a substitute is either a recycled or recovered flux returned to the regenerating pool, or a non-renewable drawdown on a second compartment.",0.757,
D0122,supported at high confidence,1.2,0,,"**Task two is non-compensation.** Ecological economics has a thesis called weak comparability: the values that matter in environmental decisions may not be commensurable in one metric (Martinez-Alier, Munda and O'Neill, 1998).","The weak-comparability thesis of ecological economics holds that values relevant to environmental decisions may not be commensurable in a single metric (Martinez-Alier, Munda, and O'Neill, 1998).",0.754,
D0188,supported at high confidence,2.1,0,,"- A **moiety** is a conserved substance class — an element, or a declared conserved combination.","A *moiety* is a conserved substance class (an element, or a declared conserved combination) — the only object to which a conservation law attaches.",0.754,
D0437,supported at high confidence,,0,,and $b_i(t)\ge0$ means measured supply meets measured demand for component $i$ at that instant.,"The contemporaneous component balance is $$b_i(t) = s_i(t) - d_i(t),$$ and $b_i(t) \ge 0$ means measured supply meets measured demand for component $i$ at that instant.",0.751,
D0102,supported at high confidence,1.1,0,,**Why reserve-life arithmetic is not a forecast.** The classification-drift failure is well documented on the data side.,The classification-drift failure is well documented on the data side.,0.749,
D0352,supported at high confidence,3.5,0,,"**Worked envelope on the closed block.** On (2), with declared boxes $N\in[0,K]$ and $E\in[0,E_{\max}]$, the mass row of the incidence gives","**Worked envelope on the closed block.** On (2) with declared boxes $N \in [0, K]$ and $E \in [0, E_{\max}]$, the mass row of the incidence gives $\dot M = -qEN - C^{A,\mathrm{lim}} \in [-(qE_{\max}K + C^A),\, 0]$, hence $M(t) \in [M(0) - (qE_{\max}K + C^A)t,\ M(0)]$.",0.749,
D0349,supported at high confidence,3.5,0,,"It says nothing about what the fluxes *will* be, only about what every admissible flux path implies for the stock.","And the envelope is an interval computation on the flux data, not a forecast: it says nothing about what the fluxes will be, only about what every admissible flux path implies for the stock.",0.743,
D0058,supported at high confidence,1.1,0,,Section 10.1 formalises this sense as an aggregation obstruction.,This article formalises this sense as the aggregation obstruction of Section 10.1.,0.741,
D0183,supported at high confidence,2.1,0,,Material flow accounting starts from a few distinctions.,Material flow accounting begins with a small set of distinctions.,0.739,
D0300,supported at high confidence,2.6,0,,"Substituting it for the underlying stock-support dynamics is legitimate only where the support pool is at interior saturation, and only on the timescales over which the saturated approximation holds.","The implication for material-flows accounting is that a logistic stock equation is a saturated support-pool readout, not a primitive physical law: substituting it for the underlying stock-support dynamics is legitimate only where the support pool is at interior saturation and only on the timescales over which the saturated approximation holds.",0.733,
D0367,supported at high confidence,3.6,0,,The boundary discipline this proposition fixes is the ecological-economics one of Daly (1990): depletion is not loss of matter.,"The boundary discipline this proposition fixes is the ecological-economics one of Daly (1990): depletion is not loss of matter, it is loss of access to matter in the form and place that supports the service in question.",0.728,
D0641,supported at high confidence,9,0,,"The reduced core's constitutive replacement $R(N,A)\to rN(1-N/K)$ is separately an approximation and carries its own finite-time scope (Theorem 1 and Remark 2: the replacement is pointwise on the interior support region and non-uniform through the depleted-pool boundary).","The identity is the one object both analyses may use without substantive duplication; the reduced core's constitutive replacement $R(N,A) \to rN(1 - N/K)$ is separately an approximation and carries its own finite-time scope (Theorem 1 and Remark 2: the replacement is pointwise on the interior support region and non-uniform through the depleted-pool boundary).",0.728,
D0286,supported at high confidence,2.5,0,,Routing it into product or waste would create mass that was never in the stock. 3.,Habitat-induced failed recruitment is a prevented inflow — routing it into product or waste would create mass that was never in the stock.,0.726,
D0693,supported at high confidence,10.2,0,,"Adding unlike units — biomass, money, biodiversity indices, exergy — into one conserved scalar is not authorized by any conservation theorem. 2. **Explicit stoichiometry.** Entries are added within an incidence row only when their types and units agree; every conversion is an explicit coefficient in $S^{\top}$, never an implicit sum (§2.1). 3. **Yield routing.** A transformation represented with yield below one must route the omitted fraction to a represented compartment or a declared boundary flow; otherwise the moiety balance holds only after silently dropping the moiety (Theorem 15). 4. **No ghost sinks.** Every primitive with an outflow from some compartment must have its routed inflow represented, and every inflow its source — opposite-sign incidence of the same primitive is checkable column by column.","1. **One balance per moiety.** Conservation laws attach to declared moieties (Theorems 7–8); adding unlike units — biomass, money, biodiversity indices, exergy — into one conserved scalar is not authorized by any conservation theorem. 2. **Explicit stoichiometry.** Entries are added within an incidence row only when their types and units agree; every conversion is an explicit coefficient in $S_{\mathcal{T}}$, never an implicit sum (Section 2.1). 3. **Yield routing.** A transformation represented with yield below one must route the omitted fraction to a represented compartment or a declared boundary flow; otherwise the moiety balance holds only after silently dropping the moiety (Theorem 15). 4. **No ghost sinks.** Every primitive with an outflow from some compartment must have its routed inflow represented, and every inflow its source — opposite-sign incidence of the same primitive is checkable column by column — and the six-state cancellation of Section 4.9 shows the check passing, while the same template shows that cancellation without donor-limited admissibility establishes nothing. 5. **Classification labels stay out of the columns.** Reserve-life and resource-threshold quantities answer different questions and share a column only under an explicit convention label (Section 6.5.3); diagnostic labels never determine material routing (Section 2.5).",0.724,
D0354,supported at high confidence,3.6,0,,"**Proposition 6 (Finite exhaustion under uniform negative drift).** *Assume (H1) $S$ is absolutely continuous with $\dot S(t)\le-\varepsilon<0$ whenever $S(t)>\underline B$, where $\underline B$ is a constant lower barrier and $\varepsilon>0$ a uniform drift bound; (H2) $S(0)>\underline B$.","*(H1) $S$ is absolutely continuous with $\dot S(t) \le -\varepsilon < 0$ whenever $S(t) > B$, where $B$ is a constant lower barrier and $\varepsilon > 0$ a uniform drift bound.*",0.719,
D0471,supported at high confidence,,0,,Gross uptake measures throughput or dependency.,Gross uptake measures throughput or dependency; net depletion is a balance property.,0.719,
