ordinal,section,why_out,carries_a_value_or_citation,text
,,block not read as prose: prose with no sentence of six words or more,,"$$\frac{H_0}{1+\varepsilon}\ \le\ H\ \le\ \frac{H_0}{1-\varepsilon},\qquad |H-H_0|\ \le\ \frac{\varepsilon}{1-\varepsilon}\,H_0.$$"
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* If no crossing occurs before $t^*=H_0/(1-\varepsilon)$, absolute continuity gives $A(t^*)\le A(0)-(1-\varepsilon)v_0t^*=A_{\min}$, a contradiction; hence $H\le t^*$. Integrating both rate bounds over $[0,H]$ and"
,,block not read as prose: prose with no sentence of six words or more,,$$|H-\mathcal H^{\mathrm{loc}}_A|\le\frac{2\varepsilon H_0}{1-\varepsilon}$$
,,block not read as prose: a heading,,"## 6.3 Upper barriers, exit times, and maintainability"
,,block not read as prose: prose with no sentence of six words or more,,"$$\tau_m^-=\inf\{t\ge0:S_m(t)\le\underline B_m(t)\},\qquad \tau_m^+=\inf\{t\ge0:S_m(t)\ge\overline B_m(t)\},\qquad \inf\varnothing=\infty,$$"
,,block not read as prose: prose with no sentence of six words or more,,"and the overall admissibility exit time $\tau_{\mathrm{exit}}=\min_m\{\tau_m^-,\tau_m^+\}$; **horizon safety on $[0,T]$ is $\tau_{\mathrm{exit}}>T$**. Note the minimum is taken over all moieties $m$ — both signs, every c"
,,block not read as prose: prose with no sentence of six words or more,,Two disciplines attach.
,,block not read as prose: prose with no sentence of six words or more,,"1. **Equality at the hitting time** — $S_m(\tau_m^-)=\underline B_m(\tau_m^-)$ — requires continuity of both $S_m$ and $\underline B_m$ and appropriate initial separation. If fluxes or barriers can jump, the stock can cr"
,,block not read as prose: prose with no sentence of six words or more,,$$\mathcal K_{\mathrm{maint}}=\{x:\exists\ \text{an admissible continuation satisfying all barriers for } t\ge T\}$$
,,block not read as prose: a heading,,## 6.4 Robust semantics
,,block not read as prose: prose with no sentence of six words or more,,"For uncertain parameters $\theta\in\Theta$ and admissible disturbances $d\in\mathcal D$, robust barrier safety is"
,,block not read as prose: prose with no sentence of six words or more,,"$$\text{RobustBarrierSafe}(x(\cdot))\iff \underline B_m(t)\le S_m(t;\theta,d)\le\overline B_m(t)\ \ \forall m,\ \forall t,\ \forall\theta\in\Theta,\ \forall d\in\mathcal D,$$"
,,block not read as prose: a heading,,## 6.5 Application classifications at their exact status
,,"block not read as prose: a table, display or code block",,"| Time-like quantity | G3P $\mathcal L^{\mathrm{anom}}_{\mathrm{hist}}$ | Phosphate $\mathcal T_{\mathrm{reserve}}$ | Fisheries $\Theta_F$ | |---|---|---|---| | $J^{\mathrm{gross}}_A,\ \mathcal H^{\mathrm{gross}}_A$ — tu"
,,block not read as prose: a heading,,### 6.5.1 Groundwater anomaly-persistence indices
,,block not read as prose: prose with no sentence of six words or more,,"$$\mathcal L^{\mathrm{anom}}_{\mathrm{hist}}=\frac{a_{\mathrm{latest}}-a_{\mathrm{hist,min}}}{[-\dot a]_+},$$"
,,block not read as prose: a heading,,### 6.5.2 The applied depletion-horizon tables
,,"block not read as prose: a table, display or code block",,"| Basin | Trend (cm/yr) | 2023 anomaly (cm) | Window minimum (cm, implied) | Horizon to window minimum (yr) | |---|---|---|---|---| | Indo-Gangetic (N. India)† | −49.7 | −414 | −548 | ≈ 2.7 | | North China Plain | −18.6 "
,,block not read as prose: the reading note at the head of the file,,"> **Quarantine note, placed adjacent to the row it marks** (recorded data-vintage decision: the row stays first, daggered). The Indo-Gangetic magnitude **must not be reused numerically**: it sits an order of magnitude be"
,,block not read as prose: prose with no sentence of six words or more,,**Phosphate (reserve-life arithmetic).**
,,"block not read as prose: a table, display or code block",,"| Country | Reserves (kt) | Reserve-life horizon (yr) | Implied production (kt/yr) | |---|---|---|---| | China | 3,400,000 | ≈ 28 | 121,429 | | United States | 1,000,000 | ≈ 45 | 22,222 | | Jordan | 820,000 | ≈ 62 | 13,2"
,,block not read as prose: prose with no sentence of six words or more,,$$\mathrm{ADH}=F^{-1}\log\!\big(\mathrm{SSB}_{\mathrm{now}}/(0.2\max \mathrm{SSB})\big)$$
,,block not read as prose: prose with no sentence of six words or more,,"under current fishing mortality $F$, with median **≈ 1.8 yr** across the **43** assessed stocks with finite spawning-stock-biomass (SSB) and $F$ series — the archived pull, kept in place as the headline cohort by the rec"
,,block not read as prose: prose with no sentence of six words or more,,"$$\Sigma_{\mathrm{reserves}}\approx\frac15\Big(\frac1{2.7}+\frac1{7.9}+\frac1{9.5}+\frac1{21.4}+\frac1{309}\Big)\approx0.130\ \mathrm{yr}^{-1},$$"
,,block not read as prose: a heading,,### 6.5.3 The phosphate reserve-life ratio
,,block not read as prose: prose with no sentence of six words or more,,$$\mathcal T_{\mathrm{reserve}}=G_{\mathrm{reserve}}/C_G ;$$
,,block not read as prose: a heading,,### 6.5.4 The fisheries removals-only pressure time
,,block not read as prose: prose with no sentence of six words or more,,"$$R_{\mathcal B}=\log(\mathrm{SSB}_{\mathrm{now}}/\mathcal B_{\mathrm{lim}}),\qquad \Theta_F=\frac{R_{\mathcal B}}{F_{\mathrm{now}}},$$"
,,block not read as prose: the reading note at the head of the file,,"> **In plain words.** A ""first-passage time"" is the random moment at which something drifting and wobbling first crosses a line. Section 6 used deterministic ratios. Here the article adds noise, because that is what the "
,,block not read as prose: a heading,,"## 7.1 Two objects, not one"
,,block not read as prose: a heading,,## 7.2 The observed-drift Brownian surrogate
,,block not read as prose: prose with no sentence of six words or more,,"$$A(t)=A_0+\mu t+\varsigma W_t,\qquad A(0)=A_0>\mathcal A^{\mathrm{win}}_{\min},$$"
,,block not read as prose: prose with no sentence of six words or more,,"*where $W$ is a standard Wiener process, $\varsigma>0$ a chosen noise scale, and the process is stopped at first reaching the record-relative barrier $\mathcal A^{\mathrm{win}}_{\min}$. This is a statistical surrogate fo"
,,block not read as prose: a heading,,## 7.3 The inverse-Gaussian groundwater first passage
,,block not read as prose: prose with no sentence of six words or more,,"$$T_{\mathrm{GW}}\sim \mathrm{IG}(\nu,\lambda),\qquad \nu=\frac{d}{|\mu|},\qquad \lambda=\frac{d^2}{\varsigma^2},$$"
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* The first-passage time of a Brownian motion with constant negative drift to a lower barrier is inverse Gaussian — the classical first-passage result (Chhikara and Folks, 1989; Redner, 2001) — with the stated mea"
,,block not read as prose: prose with no sentence of six words or more,,"**Corollary 19 (Zero-noise limit and median).** *As $\varsigma\to0^+$, $T_{\mathrm{GW}}\to\mathcal H^{\mathrm{win}}_{\mathrm{GW}}$ in probability, and at $\varsigma=0$ the deterministic trajectory reaches the barrier exa"
,,block not read as prose: prose with no sentence of six words or more,,"$$F_{\mathcal T}(\nu)=\tfrac12+e^{2\lambda/\nu}\,\Phi\big(-2\sqrt{\lambda/\nu}\big)>\tfrac12 .$$"
,,block not read as prose: prose with no sentence of six words or more,,*The variance scales as $\varsigma^2$ and the standard deviation and small-noise quantile widths as $\varsigma$. The median below the mean is the inverse Gaussian's right skew toward short passage times; **the inequality
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* Evaluate the inverse-Gaussian CDF $F_{\mathcal T}(t)=\Phi\big(\sqrt{\lambda/t}\,(t/\nu-1)\big)+e^{2\lambda/\nu}\Phi\big(-\sqrt{\lambda/t}\,(t/\nu+1)\big)$ at $t=\nu$: the first term is $\Phi(0)=1/2$ and the seco"
,,block not read as prose: a heading,,## 7.4 The record-relative barrier discipline
,,block not read as prose: prose with no sentence of six words or more,,"The barrier $\mathcal A^{\mathrm{win}}_{\min}$ is selected from the *same finite observation window* used to estimate $\hat\mu$. It is therefore a path-dependent, record-relative threshold, not an independently identifie"
,,block not read as prose: prose with no sentence of six words or more,,"1. **Already at minimum.** If $A_0=\mathcal A^{\mathrm{win}}_{\min}$, the stopping-time convention gives $T_{\mathrm{GW}}=0$ deterministically for every $\varsigma$. The inverse-Gaussian family has a degenerate boundary "
,,block not read as prose: a heading,,## 7.5 The geometric-Brownian fisheries first passage
,,block not read as prose: prose with no sentence of six words or more,,"$$\mathcal T_{\mathrm{fish}}\sim \mathrm{IG}(\nu_F,\lambda_F),\qquad \nu_F=\frac{\log(\mathcal B_0/\mathcal B_{\min})}{h+\varsigma^2/2},\qquad \lambda_F=\frac{\log(\mathcal B_0/\mathcal B_{\min})^2}{\varsigma^2},$$"
,,block not read as prose: prose with no sentence of six words or more,,*so $\mathbb E[\mathcal T_{\mathrm{fish}}]=\log(\mathcal B_0/\mathcal B_{\min})/(h+\varsigma^2/2)$; as $\varsigma\to0^+$ this converges to the deterministic pure-decay horizon when $h=F$ and $\mathcal B_{\min}=\mathcal B
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* Itô's lemma (Øksendal, 2003) gives $\mathrm d\log\mathcal B_t=-(h+\varsigma^2/2)\mathrm dt+\varsigma\,\mathrm dW_t$, so the logarithmic threshold is a Brownian first-passage problem with initial distance $\log(\"
,,block not read as prose: a heading,,## 7.6 The constant-production phosphate passage time
,,block not read as prose: prose with no sentence of six words or more,,"Under the deterministic surrogate $\dot G=-P$ with constant production $P>0$, the first-passage time to a fixed threshold $G_{\min}\in[0,G_0)$ is"
,,block not read as prose: prose with no sentence of six words or more,,"$$\mathcal T_{\mathrm{phos}}=\frac{G_0-G_{\min}}{P},$$"
,,block not read as prose: prose with no sentence of six words or more,,"the reserve-life ratio being the $G_{\min}=0$ special case, and a threshold fraction $\varepsilon G_0$ giving $(1-\varepsilon)G_0/P$. This is a conditional reserve-classification proxy under constant production. Because "
,,block not read as prose: a heading,,## 7.7 The explicit non-claims
,,block not read as prose: a heading,,## 7.8 Parameter and observation uncertainty
,,block not read as prose: the reading note at the head of the file,,"> **In plain words.** A ""template"" is a scaffold with its holes visible. The article names the data and the checks that would have to arrive before a domain claim could be made, and it says plainly that they have not arr"
,,block not read as prose: a heading,,## 8.1 The phosphorus template
,,block not read as prose: a heading,,## 8.2 The groundwater template and the two-pool gap
,,block not read as prose: a heading,,## 8.3 Extractor-side harvest economics
,,block not read as prose: prose with no sentence of six words or more,,$$S_{\mathrm{OA}}=\frac{c}{pq}$$
,,block not read as prose: prose with no sentence of six words or more,,$$S_{\mathrm{OA}}=\frac{c}{(p-\tau)q}.$$
,,block not read as prose: prose with no sentence of six words or more,,"The growth function $g$ of this paragraph is a declared constitutive readout on the stock **for this extractor-side remark only**. It is not a primitive of the closed natural block of §2, and nothing in this section is p"
,,block not read as prose: prose with no sentence of six words or more,,---
,,block not read as prose: a heading,,"# 9. The interface with institutional delay dynamics — one shared equation, and a wall"
,,block not read as prose: the reading note at the head of the file,,"> **In plain words.** There is a companion paper about institutions that review extraction periodically, with delays. This article is about the material ledger. They agree on exactly one object, an identity for the defic"
,,block not read as prose: prose with no sentence of six words or more,,"$$D(t):=qE(t)N(t)-R(N(t),A(t))=-\dot N(t),\qquad \Lambda(t):=[D(t)]_+=[-\dot N(t)]_+$$"
,,block not read as prose: prose with no sentence of six words or more,,"$$\omega_A\big(A_{\mathrm{eq},W}-A_{\mathrm{eq,intrinsic}}\sigma\big)-\gamma_UU=\kappa_AK-\gamma_UU$$"
,,block not read as prose: prose with no sentence of six words or more,,"under the registered scale separation ($\sigma\approx1$): approximately **0.535** stock units per year at the working point's quasi-rest detritus level (where $\gamma_UU=\mathcal T^*\approx4.47$, the gross uptake at the "
,,block not read as prose: the reading note at the head of the file,,"> **In plain words.** Most papers end by listing what they did achieve. This one ends by listing what it refuses to license, and it proves the refusals. Two results matter here. First, no weighted average of components c"
,,block not read as prose: a heading,,"## 10.1 Compensatory aggregation is rejected, not merely discouraged"
,,block not read as prose: prose with no sentence of six words or more,,"**Proposition (No weighted certification).** *Let $\mathcal B(x,t)$ be the feasible balance domain (Definition 1). If $\mathcal B(x,t)$ contains a vector with $b_i<0$ and $w^{\top}b>0$ for a fixed $w\ge0$, then the certi"
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* On the exhibited vector the componentwise predicate fails ($b_i<0$) while the weighted predicate holds ($w^{\top}b>0$); the two predicates differ on $\mathcal B(x,t)$. The inverse-horizon score of §6.5.2 (Non-ex"
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* Take the two-compartment ledger with stock $x=(x_1,x_2)\in\mathbb R^2_+$, one donor-limited transfer flux $f=kx_1$ from compartment 1 to compartment 2 ($k>0$), identity readout $O(x,u,\theta)=x$, and demands $d="
,,block not read as prose: prose with no sentence of six words or more,,"$$w^{\top}b=w_m(x_m-d_m)+w_j(x_j-d_j)\ \ge\ w_m(x_m-d_m)+w_m(d_m-x_m)+\varepsilon=\varepsilon\ \ge\ 0,$$"
,,block not read as prose: prose with no sentence of six words or more,,"while $b_m=x_m-d_m<0$. The pair $(x,d)$ is the witness for $w$. $\blacksquare$"
,,block not read as prose: a heading,,## 10.2 The double-counting discipline
,,block not read as prose: a heading,,## 10.3 Negative and boundary content is first-class
,,block not read as prose: a heading,,## 10.4 Limitations
,,block not read as prose: prose with no sentence of six words or more,,---
,,block not read as prose: a heading,,# 11. Conclusion
,,block not read as prose: prose with no sentence of six words or more,,---
,,block not read as prose: back matter,,## Supplementary material
,,block not read as prose: prose with no sentence of six words or more,,"The accompanying file `paper3_supplementary_v8.md` carries: the ten-state admissibility template and its three audited negative witnesses (the non-donor-limited geological exchange, the variance-closure failure, the unde"
,,block not read as prose: back matter,,## Declarations
,,block not read as prose: prose with no sentence of six words or more,,"**Data availability.** All computations underlying §6.5 are descriptive arithmetic on the cited public data products: the G3P groundwater anomaly product v1.12 (Güntner et al., 2024; GFZ Data Services, doi:10.5880/G3P.20"
,,block not read as prose: prose with no sentence of six words or more,,**Declaration of competing interest.** None.
,,block not read as prose: prose with no sentence of six words or more,,"**AI declaration.** GLM (Z.ai), Qwen (AlibabaCloud) and DeepSeek AI assisted with drafting and iterative review. # References — carried unchanged"
,,block not read as prose: the reading note at the head of the file,,"> A reference list is not prose, so nothing here is rewritten. The block below is the source's own list, reflowed from the PDF text layer with hyphenation repaired and **no entry added, dropped, or re-ordered**. Precise "
,,block not read as prose: a heading,,## The list as it stands in the source
,,block not read as prose: prose with no sentence of six words or more,,"Abaee, A., 2026. Delay-induced regime change in harvested stocks: the mobilising and protective channels of institutional feedback, and the review interval as control. Zenodo. https://doi.org/10.5281/zenodo.22554217. Com"
,,block not read as prose: back matter,,## DOI links present in the source list
,,block not read as prose: prose with no sentence of six words or more,,- https://doi.org/10.1007/s13762-024-05664-y - https://doi.org/10.1371/journal.pbio.1001700 - https://doi.org/10.3390/resources7030058 - https://doi.org/10.5281/zenodo.22545740. - https://doi.org/10.5281/zenodo.22554217.
,,block not read as prose: back matter,,## Two open items the author must settle before submission
,,block not read as prose: prose with no sentence of six words or more,,"1. The in-text placeholders **""Author, D., et al., in review""** (§2.2, twice; §9, once), **""Author, E., et al., in review""** (§6.5.2) and **""Author, F., et al., in review""** (§10.1) — five mentions naming three works — a"
,,prose block with no row: block 9,,Each is informative about something. None is what it is usually taken to be.
,,prose block with no row: block 35,,"**Contributions, with each one's status.**"
,,prose block with no row: block 61,,"rNs rN²s/K qEN T γ_U U e_GA e_AG C_A,lim N 1 −1 −1 0 0 0 0 0 A_act −1 1 0 −1 1 1 −1 0 A_geo 0 0 0 0 0 −1 1 −1 U 0 0 0 1 −1 0 0 0"
,,prose block with no row: block 113,,**Theorem 5 (Flux-bounding envelopes).** *Assume:*
,,prose block with no row: block 116,,"*and the envelopes , . Then for all and all .*"
,,prose block with no row: block 180,,**Definition 4 (Local net-depletion ratio).**
,,prose block with no row: block 204,,**Groundwater (G3P v1.12 basin series).**
,,prose block with no row: block 274,,while . The pair is the witness for .
