map_id,source_id,source_label,theorem_family,retention_tier,paper_destination,selection_reason,formal_source_words,proof_location_status,verification_dependencies
TM-A002-041,A002,Conditional theorem,F07 diagnostics and delay certificates,main,Paper 2,canonical A002 restricted theorem/definition family,279,located,V-A002-01;V-A002-03;V-A002-18;V-A002-17
TM-A002-042,A002,Conditional theorem,F07 diagnostics and delay certificates,main,Paper 2,canonical A002 restricted theorem/definition family,240,located,V-A002-01;V-A002-03;V-A002-18;V-A002-17
TM-A002-043,A002,Conjecture,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",50,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
TM-A002-044,A002,Conjecture,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",67,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
TM-A002-045,A002,Conjecture,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",47,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
TM-A002-046,A002,Empirical hypothesis,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",30,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
TM-A002-047,A002,Empirical hypothesis,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",45,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
TM-A002-048,A002,Empirical hypothesis,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",36,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
TM-A002-049,A002,Research programme,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",150,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
TM-A002-050,A002,Research programme,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",153,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
TM-A002-051,A002,Research programme,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",58,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
TM-A002-052,A002,Research programme,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",126,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
TM-A002-053,A002,Research programme,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",111,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
