id,verdict,confidence,draft_section,draft_sentence,dep_section,deposit_proposition,paired_via,overlap,char_ratio,block_overlap,flags,notes,adjudication
D0221,supported (reworded),medium,,A positive detritus-routed fraction would add to and reduce the block export to .,,"The block's harvest routing is the corner of Section 2.3: harvest exits the natural block entirely as product, and a positive detritus-routed fraction would add to and reduce the block export to ; the mass identity of Theorem 7 is stated for the declared routing.",elsewhere in the deposit,0.417,0.472,0.0,,"polarity phrased differently (passage ['not'], draft no negator)",
D0222,supported (reworded),medium,,The mass identity of Theorem 7 is stated **for the declared routing**.,,The identity is stated for the declared harvest routing of Section 2.2; with a detritus-routed harvest fraction the block export is and the identity reads .*,elsewhere in the deposit,0.377,0.433,0.0,,,
D0223,needs check: strength,medium,,"The geological half-saturation is declared positive (for smoothness of ) under the separation-of-scale condition , a regime in which .",,"The registered parameterization is , , , , , , , ; the geological half-saturation is declared positive (smoothness of the donor fraction ) under the separation-of-scale condition , in which regime ; the scale separation is registered rather than a numerical value, and the corner is the discontinuous-perturbation limit, not the registered regime.",elsewhere in the deposit,0.442,0.453,0.0,needs check: strength: the passage hedges with ['would']; this sentence asserts without a hedge,,
D0224,needs check: strength,high,,"The scale separation is **registered rather than a numerical value**, and the corner is the discontinuous-perturbation limit, not the registered regime.",,"The registered parameterization is , , , , , , , ; the geological half-saturation is declared positive (smoothness of the donor fraction ) under the separation-of-scale condition , in which regime ; the scale separation is registered rather than a numerical value, and the corner is the discontinuous-perturbation limit, not the registered regime.",elsewhere in the deposit,0.476,0.377,0.0,needs check: strength: the passage hedges with ['would']; this sentence asserts without a hedge,,
D0225,supported (near-verbatim),high,,"With and the right-hand side of (2) is locally Lipschitz on the closed orthant, and the comparison , with once , bounds the stock by .",,"With and the right-hand side of (2) is locally Lipschitz on the closed orthant, and the comparison (with once ) bounds the stock by .",aligned passage,1.0,0.996,1.0,,"polarity phrased differently (passage ['not'], draft no negator)",
D0226,excluded: shared verbatim,n/a,,"Classical solutions therefore exist globally and stay in the orthant by Theorem 10 — the existence clause behind every ""classical solution"" statement below.",,,identical text,1.0,1.0,,,,
D0227,supported (reworded),medium,2.2,"Written out for the closed block, the incidence discipline of §2.1 is the four-row block incidence.",3.5,"**Worked envelope on the closed block.** On (2) with declared boxes and , the mass row of the incidence gives , hence .",elsewhere in the deposit,0.345,0.463,0.0,,"polarity phrased differently (passage ['cannot'], draft no negator)",
D0228,supported (reworded),medium,2.2,"Rows are ; the eight columns are gross regeneration , density-dependent return , harvest , uptake , detritus return , geological recharge , geological return , and mining :",2.2,Net regeneration and gross uptake are the constitutive laws and the four geo-interface and closure primitives are,elsewhere in the deposit,0.268,0.365,0.0,,,
D0229,supported (reworded),medium,2.2,Every column is a two-compartment transfer or a boundary export.,1.2,Every one-way transfer is donor-limited.,elsewhere in the deposit,0.357,0.444,0.0,,,
D0230,supported (reworded),medium,2.2,The six internal columns sum to zero.,2.3,The zero column sums are the incidence statement of mass conservation (proved for the full system in Section 4.2).,elsewhere in the deposit,0.245,0.329,0.0,,,
D0231,supported (reworded),medium,2.2,The two exports — harvest and mining — each carry the column sum .,3.1,"(Numbering: the two layering propositions of this section carry their own counter, Propositions 1–2.",elsewhere in the deposit,0.308,0.443,0.0,,,
D0232,supported (reworded),medium,2.2,So summing the four rows reads off,3.7,Two dependencies belong with this reading.,elsewhere in the deposit,0.276,0.4,0.0,,,
D0233,supported (reworded),medium,2.2,"the mass identity proved as Theorem 7, directly from the display.",2.2,"Every column is a two-compartment transfer or a block-boundary export: the six internal columns sum to zero, and the two exports — harvest and mining — carry the column sums each, so summing the four rows reads off , the mass identity proved as Theorem 7, directly from the display (under the institutional-failure specialization the mining column is inactive, ).",aligned passage,0.199,0.204,0.842,,,
D0234,supported (reworded),medium,2.2,Under the institutional-failure specialization the mining column is inactive ( ).,2.2,"Every column is a two-compartment transfer or a block-boundary export: the six internal columns sum to zero, and the two exports — harvest and mining — carry the column sums each, so summing the four rows reads off , the mass identity proved as Theorem 7, directly from the display (under the institutional-failure specialization the mining column is inactive, ).",aligned passage,0.194,0.052,0.842,,,
D0235,supported (near-verbatim),high,2.2,"The harvest column is written at the declared routing, under which harvest leaves the block; a detritus-routed fraction moves into the entry of that column and reduces the block export to — the full-ledger routing displayed in §4.2.",2.2,"The harvest column is written at the declared routing, under which harvest exits the block; a detritus-routed fraction moves into the entry of that column and reduces the block export to — the full-ledger routing displayed in Section 4.2.",aligned passage,0.908,0.963,0.842,,,
D0236,supported (near-verbatim),high,2.2,"When product, waste and the inert sink are restored with the same donor-limited routing, the full ledger is closed (§4.2).",2.2,"When product, waste, and the inert sink are restored with the same donor-limited routing, the full ledger is closed (Section 4.2).",aligned passage,0.944,0.966,1.0,,,
D0237,excluded: shared verbatim,n/a,2.2,"The geological donor is an internal state throughout — **no infinite reservoir is declared** — and the block boundary is crossed only by harvest (to product) and, when restored, mining (to product or waste).",,,identical text,1.0,1.0,,,,
D0238,supported (near-verbatim),high,2.2,The full seven-compartment incidence is the nested completion of this four-block routing.,2.2,The full seven-compartment incidence is the nested completion of the four-block routing.,aligned passage,1.0,0.982,1.0,,"polarity phrased differently (passage ['never', 'not'], draft no negator)",
D0239,supported (reworded),medium,2.2,"One routing point is easy to misread, so it is stated where it is first used.",3.7,Everything above is stated for one ledger.,elsewhere in the deposit,0.29,0.379,0.0,,,
D0240,supported (reworded),high,2.2,"It is an throughput in which the living stock appears as a catalytic factor, not as stored biomass.",2.2,"Uptake never enters : it is an throughput with the living stock entering as a catalytic factor, not stored biomass — legitimate in a monomaterial projection; the masses below are defined on this routing.",elsewhere in the deposit,0.484,0.563,0.0,,,
D0241,supported (reworded),high,2.2,"That is legitimate in a monomaterial projection, and the masses below are defined on this routing.",2.2,"Uptake never enters : it is an throughput with the living stock entering as a catalytic factor, not stored biomass — legitimate in a monomaterial projection; the masses below are defined on this routing.",elsewhere in the deposit,0.526,0.619,0.0,,,
D0242,supported (near-verbatim),high,2.3,"For one conserved limiting material, the scaffold is instantiated by six compartments — living biomass , detritus or recoverable residual , active abiotic pool , geological or slowly available pool , product or in-use stock , and absorbing or currently unavailable stock — with eight non-negative primitive fluxes: assimilation , mortality , harvest , decomposition , geological-to-active transfer , active-to-geological transfer , direct mining , and product retirement .",2.3,"For one conserved limiting material, the accounting scaffold is instantiated by six compartments — living biomass , detritus or recoverable residual , active abiotic pool , geological or slowly available pool , product or in-use stock , and absorbing or currently unavailable stock — with eight non-negative primitive fluxes: assimilation , mortality , harvest , decomposition , geological-to-active transfer , active-to-geological transfer , direct mining , and product retirement .",elsewhere in the deposit,0.982,0.988,0.0,,,
D0243,supported (reworded),medium,2.3,"With harvest fraction routed to and retirement fraction returning to rather than ,",2.5,Literally harvesting pre-recruit stages is a harvest of existing units and routes to the product and waste fractions.,elsewhere in the deposit,0.328,0.408,0.0,,"polarity phrased differently (passage ['never'], draft no negator)",
D0244,supported (reworded),medium,,"In words: each column is one flow, and each column has a where the flow arrives and a where it leaves.",,"*(H2) with , separate reverse columns, and donor-limited negative boundary flows.*",elsewhere in the deposit,0.228,0.277,0.0,,,
D0245,supported (near-verbatim),high,,"So every column sums to zero, which is the incidence statement of mass conservation (proved for the full system in §4.2).",2.3,The zero column sums are the incidence statement of mass conservation (proved for the full system in Section 4.2).,elsewhere in the deposit,0.839,0.844,0.0,,"polarity phrased differently (passage ['not'], draft no negator)",
D0246,supported (reworded),medium,,The matrix is what makes the routing choices visible.,,"Under the unit-sum routing constraints with ,*",elsewhere in the deposit,0.288,0.421,0.0,,,
D0247,supported (reworded),high,2.3,"The constitutive choices belong to this example, not to every typed ledger: the constant splits and , the compartment set, and the absorbing-sink convention are declared choices.",2.3,"The matrix makes the routing choices visible, and the constitutive choices are features of this example, not properties of every typed ledger: the constant splits and , the compartment set, and the absorbing-sink convention are declared choices.",aligned passage,0.65,0.224,1.0,,,
D0248,supported (near-verbatim),high,2.3,Coupled multi-element accounts need additional typed rows and a conservation matrix.,2.3,Coupled multi-element accounts require additional typed rows and a conservation matrix.,aligned passage,0.887,0.958,1.0,,,
D0249,supported (near-verbatim),high,2.3,"If an application makes recovery claims, and must be split by material, location and quality grade, with declared yields, residual routes and exergy or capacity inputs; the conservation argument then applies to that expanded typed incidence system, not automatically to an undifferentiated quality-neutral loop.",2.3,"If an application makes recovery claims, and must be split by material, location, and quality grade, with declared yields, residual routes, and exergy or capacity inputs — the conservation argument then applies to the expanded typed incidence system, not automatically to an undifferentiated quality-neutral loop.",aligned passage,1.0,0.993,1.0,,,
D0250,supported (reworded),medium,2.3,The four-block system (2) is **not** a specialization of this scaffold.,2.4,A second exact specialization closes a resource–sink system with a nutrient stock and product stock.,elsewhere in the deposit,0.287,0.373,0.0,,,
D0251,needs check: scope,medium,2.3,"In the scaffold, assimilation is a slow flux and mortality a slow flux.",2.1,Write for the admissible stationary flux patterns.,elsewhere in the deposit,0.302,0.458,0.0,needs check: scope: the sentence this one restates is conditioned by ['admissible']; the draft states it unconditionally,"polarity phrased differently (passage no negator, draft ['not'])",
D0252,supported (reworded),medium,2.3,"In (2), the uptake transfers with the living stock catalytic and no separate mortality primitive.",2.3,"The four-block system (2) is not a specialization of this scaffold: in the scaffold assimilation is a slow flux and mortality a slow flux, while in (2) the uptake transfers with the living stock catalytic and no separate mortality primitive — two different timescale lumpings of the same physical story, and no incidence specialization maps one onto the other.",elsewhere in the deposit,0.355,0.411,0.0,,,
D0253,supported (reworded),high,2.3,"These are two different timescale lumpings of the same physical story, and no incidence specialization maps one onto the other.",2.3,"The four-block system (2) is not a specialization of this scaffold: in the scaffold assimilation is a slow flux and mortality a slow flux, while in (2) the uptake transfers with the living stock catalytic and no separate mortality primitive — two different timescale lumpings of the same physical story, and no incidence specialization maps one onto the other.",elsewhere in the deposit,0.464,0.379,0.0,,,
D0254,supported (near-verbatim),high,2.4,A second exact specialization closes a resource–sink system by adding a nutrient stock and a product stock.,2.4,A second exact specialization closes a resource–sink system with a nutrient stock and product stock.,aligned passage,0.92,0.936,0.9,,,
D0255,supported (reworded),high,2.4,"The state is — in this block's local notation, resource stock, sink stock, nutrient stock and input flux; the carrying capacity and living stock of §2.2 do not enter — with",2.4,"The state is (in this block's local notation, is the resource stock, the sink stock, the nutrient stock, and the input flux; the carrying capacity and living stock of Section 2.2 do not enter), with where is the sink-generation fraction, the assimilation rate, external nutrient input, and product disposal.",aligned passage,0.636,0.514,0.9,,,
D0256,supported (reworded),high,,"where is the sink-generation fraction, the assimilation rate, external nutrient input and product disposal.",2.4,"The state is (in this block's local notation, is the resource stock, the sink stock, the nutrient stock, and the input flux; the carrying capacity and living stock of Section 2.2 do not enter), with where is the sink-generation fraction, the assimilation rate, external nutrient input, and product disposal.",elsewhere in the deposit,0.471,0.522,0.0,,"polarity phrased differently (passage ['not'], draft no negator)",
D0257,needs check: scope,high,,Adding the four equations gives the mass balance,2.4,Adding the four equations gives the mass balance so total mass is conserved exactly when both boundary transfers vanish.,elsewhere in the deposit,0.524,0.575,0.0,needs check: scope: the sentence this one restates is conditioned by ['when']; the draft states it unconditionally,"polarity phrased differently (passage ['not'], draft no negator)",
D0258,supported (near-verbatim),high,2.4,so total mass is conserved exactly when both boundary transfers vanish.,2.4,Adding the four equations gives the mass balance so total mass is conserved exactly when both boundary transfers vanish.,elsewhere in the deposit,0.684,0.741,0.0,,"polarity phrased differently (passage ['not'], draft no negator)",
D0259,supported (near-verbatim),high,2.4,"This balance is an exact specialization of the incidence discipline of §2.1: every internal transfer cancels in the column sum, and the boundary terms survive as the ledger's declared inputs and outputs.",2.4,"This mass balance is an exact specialization of the incidence discipline of Section 2.1: every internal transfer cancels in the column sum, and the boundary terms survive as the ledger's declared inputs and outputs.",elsewhere in the deposit,0.937,0.968,0.0,,,
D0260,supported (near-verbatim),high,2.4,**Sink obstructions that do not care what the stock does.** The mass balance has a sink-side physical reading with two empty-kernel mechanisms that operate whatever the resource stock does.,2.4,**Sink obstructions independent of the stock.** The mass balance has a sink-side physical reading with two empty-kernel mechanisms that operate whatever the resource stock does.,aligned passage,0.89,0.903,0.875,,"polarity phrased differently (passage no negator, draft ['not'])",
D0261,supported (reworded),medium,2.4,"With sink loading , assimilation and a harvest floor — in this specialization and — two cases close off every option:",2.4,"With sink loading , assimilation , and a harvest floor (in the four-stock specialization, and ): under *no assimilation* ( ), , and the sink exceeds any finite ceiling in finite time; under *weak assimilation* ( ), the sink load at the ceiling is still positive — at — so exits above in finite time, the explicit negation of the ceiling condition with .",aligned passage,0.291,0.348,0.875,,,
D0262,needs check: attribution,medium,,"Then , and the sink exceeds any finite ceiling in finite time. 2. **Weak assimilation** ( ).",2.4,"With sink loading , assimilation , and a harvest floor (in the four-stock specialization, and ): under *no assimilation* ( ), , and the sink exceeds any finite ceiling in finite time; under *weak assimilation* ( ), the sink load at the ceiling is still positive — at — so exits above in finite time, the explicit negation of the ceiling condition with .",elsewhere in the deposit,0.381,0.374,0.0,"needs check: attribution: the sentence this one restates cites Aubin, 1991; the draft dropped the source",,
D0263,needs check: attribution,medium,,"The sink load at the ceiling is still positive: at , so exits above in finite time.",2.4,"With sink loading , assimilation , and a harvest floor (in the four-stock specialization, and ): under *no assimilation* ( ), , and the sink exceeds any finite ceiling in finite time; under *weak assimilation* ( ), the sink load at the ceiling is still positive — at — so exits above in finite time, the explicit negation of the ceiling condition with .",elsewhere in the deposit,0.429,0.205,0.0,"needs check: attribution: the sentence this one restates cites Aubin, 1991; the draft dropped the source",,
D0264,supported (reworded),medium,,This is the explicit negation of the ceiling condition with .,1.2,**What is not claimed.** The article is equally explicit about what it does not establish.,elsewhere in the deposit,0.264,0.389,0.0,,,
D0265,supported (near-verbatim),high,2.4,"In both cases the viability kernel (Aubin, 1991) of the constraint set — the states from which *some* admissible harvest keeps both constraints forever — **is empty**.",2.4,"In both cases the viability kernel (Aubin, 1991) of the constraint set — the states from which some admissible harvest keeps both constraints for all time — is empty.",elsewhere in the deposit,0.901,0.965,0.0,,"polarity phrased differently (passage ['never', 'not'], draft no negator)",
D0266,supported (reworded),medium,,The obstruction needs a sink-generation fraction .,10.3,The sink obstructions of Section 2.4 are empty-kernel mechanisms.,elsewhere in the deposit,0.316,0.473,0.0,,"polarity phrased differently (passage no negator, draft ['never', 'not'])",
D0267,needs check: attribution,high,,"If , harvest never loads the sink and the loading argument does not apply; emptiness would then have to come from the resource constraint or from an undeclared ceiling on the product stock.",2.4,"The obstruction needs the sink-generation fraction : if , harvest never loads the sink and the loading argument does not apply — emptiness would then have to come from the resource constraint or an undeclared ceiling on the product stock.",elsewhere in the deposit,0.823,0.859,0.0,"needs check: attribution: the sentence this one restates cites Aubin, 1991; the draft dropped the source",,
D0268,excluded: shared verbatim,n/a,2.4,The closed-ledger corollary is the same mechanism in ledger language.,,,identical text,1.0,1.0,,,,
D0269,excluded: shared verbatim,n/a,2.4,"In a closed ledger without recycling, where enters the sink irreversibly and , the sink rises monotonically against the finite total mass, and any positive output floor forces an empty viability kernel.",,,identical text,1.0,1.0,,,,
D0270,needs check: strength,medium,2.4,"Which constraint fails first depends on the total mass , the ceiling and the remaining stock.",2.4,"Which constraint fails first depends on the total mass , the ceiling , and the remaining stock: a ceiling below the sink's reachable mass share is crossed in finite time, while a ceiling at or above the total mass is unreachable and the violated constraint is the resource floor (the finite-budget bound of Theorem 14).",aligned passage,0.412,0.454,1.0,needs check: strength: the passage hedges with ['can']; this sentence asserts without a hedge,,
D0271,needs check: strength,high,2.4,"A ceiling below the sink's reachable mass share is crossed in finite time; a ceiling at or above the total mass is unreachable, and the constraint violated is the resource floor (the finite-budget bound of Theorem 14).",2.4,"Which constraint fails first depends on the total mass , the ceiling , and the remaining stock: a ceiling below the sink's reachable mass share is crossed in finite time, while a ceiling at or above the total mass is unreachable and the violated constraint is the resource floor (the finite-budget bound of Theorem 14).",aligned passage,0.76,0.503,1.0,needs check: strength: the passage hedges with ['can']; this sentence asserts without a hedge,,
D0272,supported (near-verbatim),high,2.4,"For material-flow accounting this is the precise sense in which a ""balanced"" mass ledger can still be **physically inadmissible**: the bookkeeping is exact, but no harvest schedule respects the resource floor and the sink ceiling at the same time.",2.4,"For material-flows accounting this is the precise sense in which a ""balanced"" mass ledger can still be physically inadmissible: the bookkeeping is exact, but no harvest schedule respects both the resource floor and the sink ceiling simultaneously.",elsewhere in the deposit,0.884,0.925,0.0,,,
D0273,supported (reworded),medium,2.5,Extraction has at least three different physical meanings.,6.1,The three quantities answer different questions and must not share one depletion-horizon label:,elsewhere in the deposit,0.253,0.333,0.0,,,
D0274,needs check: strength,high,2.5,"- **Standing-stock culling** — present extraction removes reproductive stock directly. - **Recruitment suppression** — present use prevents future recruits, without removing adults now. - **Weak viability coupling** — use has limited or indirect effect on reproduction.",2.5,"Extraction has at least three distinct physical meanings — standing-stock culling (present extraction removes reproductive stock directly), recruitment suppression (present use prevents future recruits without immediate adult removal), and weak viability coupling (use has limited or indirect effect on reproduction).",elsewhere in the deposit,0.767,0.623,0.0,needs check: strength: the passage hedges with ['at least']; this sentence asserts without a hedge,,
D0275,excluded: shared verbatim,n/a,2.5,"In the ledger, standing-stock culling enters as an outflow from the standing-stock compartment.",,,identical text,1.0,1.0,,,,
D0276,supported (reworded),medium,2.5,"The typing belongs to the physical module, not to the diagnostic.",2.5,"The typing is the physical module's, not the diagnostic's: a diagnostic label such as ""unsustainable portion"" never determines physical destination.",aligned passage,0.388,0.5,1.0,,,
D0277,supported (near-verbatim),high,2.5,"A diagnostic label such as ""unsustainable portion"" **never** determines physical destination.",2.5,"The typing is the physical module's, not the diagnostic's: a diagnostic label such as ""unsustainable portion"" never determines physical destination.",aligned passage,0.8,0.758,1.0,,,
D0278,excluded: shared verbatim,n/a,2.5,"Material routing is determined by the typed physical module alone, and the diagnostic threshold that flags a flow has no standing in the incidence matrix.",,,identical text,1.0,1.0,,,,
D0279,excluded: shared verbatim,n/a,2.5,**The split-assignment evidence requirement.** Where an application splits extraction between standing-stock removal and recruitment suppression — and for — the assignment requires evidence per channel.,,,identical text,1.0,1.0,,,,
D0280,excluded: shared verbatim,n/a,2.5,"The dominant physical mechanism sets it, never a diagnostic label.",,,identical text,1.0,1.0,,,,
D0281,supported (reworded),medium,2.5,The illustrative assignments below run through a logistic two-channel proxy.,,**Theorem 1 (Support-saturated logistic stock limit).** *Fix and non-negative parameters .,elsewhere in the deposit,0.253,0.405,0.0,,,
D0282,supported (reworded),medium,2.5,"They are stated as **illustrative, calibrated examples — not constitutive claims for the named domains**.",2.5,"Illustrative assignments through a logistic two-channel proxy (stated as illustrative, calibrated examples, not constitutive claims for the named domains): soil zinc under crop export, an existing-unit removal, at , against impaired mineralisation, a replenishment degradation, at ; pollinators under adult mortality at against brood failure at — and across such mechanism pairs the trough depth varies by a factor of about from mechanism alone.",elsewhere in the deposit,0.278,0.341,0.0,,,
D0283,supported (near-verbatim),high,2.5,**The mass-routing discipline** is the same typing made explicit.,2.5,The mass-routing discipline is the typing made explicit.,elsewhere in the deposit,0.901,0.956,0.0,,"polarity phrased differently (passage ['not'], draft no negator)",
D0284,supported (near-verbatim),high,2.5,"Literally harvesting pre-recruit stages *is* a harvest of existing units, and routes to the product and waste fractions. 2.",2.5,Literally harvesting pre-recruit stages is a harvest of existing units and routes to the product and waste fractions.,elsewhere in the deposit,1.0,0.991,0.0,,,
D0285,supported (reworded),high,2.5,Habitat-induced failed recruitment is a **prevented inflow**.,2.5,Habitat-induced failed recruitment is a prevented inflow — routing it into product or waste would create mass that was never in the stock.,elsewhere in the deposit,0.491,0.579,0.0,,,
D0286,supported (near-verbatim),high,2.5,Routing it into product or waste would create mass that was never in the stock. 3.,2.5,Habitat-induced failed recruitment is a prevented inflow — routing it into product or waste would create mass that was never in the stock.,elsewhere in the deposit,0.676,0.726,0.0,,,
D0287,supported (near-verbatim),high,2.5,"Damage to the capital stock itself — aquifer compaction, severe soil loss — is not a split-assignment channel at all.",2.5,"Damage to the capital stock itself (aquifer compaction, severe soil loss) is not a split-assignment channel at all, but a slow drift in capacity or a transfer to the inert sink.",elsewhere in the deposit,0.712,0.777,0.0,,,
D0288,supported (reworded),medium,2.5,"It is a slow drift in capacity, or a transfer to the inert sink.",2.5,"Damage to the capital stock itself (aquifer compaction, severe soil loss) is not a split-assignment channel at all, but a slow drift in capacity or a transfer to the inert sink.",elsewhere in the deposit,0.435,0.532,0.0,,,
D0289,excluded: shared verbatim,n/a,2.6,Two results control what the ledger's stock equation becomes when its support pool saturates.,,,identical text,1.0,1.0,,,,
D0290,excluded: shared verbatim,n/a,2.6,"Both are singular reductions with explicit scope, and neither is a full-system reduction.",,,identical text,1.0,1.0,,,,
D0291,excluded: shared verbatim,n/a,2.6,**Theorem 1 (Support-saturated logistic stock limit).** *Fix and non-negative parameters .,,,identical text,1.0,1.0,,,,
D0292,supported (reworded),medium,2.6,Assume (H1) is measurable with and ; (H2) common effort .,,**Theorem 12 (No interior rest at positive effort).** *Assume:*,elsewhere in the deposit,0.313,0.365,1.0,,,
D0293,supported (near-verbatim),high,,*and let solve the limiting equation with the same initial value.,,*Let solve and solve the limiting equation with the same initial value.,aligned passage,1.0,0.894,1.0,,,
D0294,supported (near-verbatim),high,2.6,"**Remark 2 (Registered-family support-saturated identity).** *In the primitive-flux core with , , , the support-saturated stock equation is, for each fixed interior in the limit ,*",2.6,"**Remark 2 (Registered-family support-saturated identity).** *In the primitive-flux core with , , , the support-saturated stock equation is, for each fixed interior in the limit ,* *requiring and .",elsewhere in the deposit,0.941,0.956,0.0,,"polarity phrased differently (passage ['not'], draft no negator)",
D0295,excluded: shared verbatim,n/a,,"The identity is pointwise on the interior support region and not uniform through the depleted-pool boundary: for every , at .*",,,identical text,1.0,1.0,,,,
D0296,supported (reworded),medium,2.6,"The limit does not eliminate the detritus compartment , does not make constant near its boundary, and does not transform the memory or effort laws.",2.2,"Let with the living stock, the active abiotic pool, the geological donor, and the detritus compartment.",elsewhere in the deposit,0.226,0.329,0.0,,,
D0297,supported (reworded),medium,2.6,It is an ecological stock-equation identity — **not a full-system reduction and not a transfer principle for bifurcation thresholds**.,1.2,"The flux-reconstruction identity, the conservation-law reduction, and a flux-bounding envelope theorem — with a barrier certificate corollary — are proved in full (Section 3).",elsewhere in the deposit,0.287,0.44,0.0,,,
D0298,supported (reworded),medium,2.6,"In the correspondence, the logistic law of (2) is this saturated, mortality-folded readout of the Theorem 1 and Remark 2 family — not the vector field of the closed four-tuple of §2.2 — and bifurcation numbers of the two families do not transfer between them.",11,"For ecological-economics measurement, that is the closing statement: not rival doctrines but two readings of one ledger, and the vector reading is what carries the certificate.",elsewhere in the deposit,0.227,0.334,0.0,,,
D0299,supported (reworded),medium,2.6,"**What this means for material-flow accounting.** A logistic stock equation is a saturated support-pool readout, not a primitive physical law.",2.6,"The implication for material-flows accounting is that a logistic stock equation is a saturated support-pool readout, not a primitive physical law: substituting it for the underlying stock-support dynamics is legitimate only where the support pool is at interior saturation and only on the timescales over which the saturated approximation holds.",aligned passage,0.407,0.042,0.577,,,
D0300,supported (near-verbatim),high,2.6,"Substituting it for the underlying stock-support dynamics is legitimate only where the support pool is at interior saturation, and only on the timescales over which the saturated approximation holds.",2.6,"The implication for material-flows accounting is that a logistic stock equation is a saturated support-pool readout, not a primitive physical law: substituting it for the underlying stock-support dynamics is legitimate only where the support pool is at interior saturation and only on the timescales over which the saturated approximation holds.",aligned passage,0.663,0.733,0.577,,,
D0301,supported (reworded),medium,3.1,"The four predicates of §1.1 — bookkeeping balance, stoichiometric conservation, thermodynamic admissibility, sustainability safety — are this section's working layer.",3.1,"The four predicates of Section 1.1 — bookkeeping balance, stoichiometric conservation, thermodynamic admissibility, and sustainability safety — are this section's working layer: it separates the first, second, and fourth and proves their relationships (the third, thermodynamic admissibility, is out of scope here, per Proposition 2's layering), for the reasons Section 1.1 states — a point at which the Daly/Ayres tradition of throughput accounting meets the formalism of reaction-network theory (Feinberg, 2019; Brunner and Rechberger, 2004).",aligned passage,0.399,0.466,0.341,,,
D0302,supported (reworded),low,3.1,"It separates the first, second and fourth and proves their relationships.",3.1,"The four predicates of Section 1.1 — bookkeeping balance, stoichiometric conservation, thermodynamic admissibility, and sustainability safety — are this section's working layer: it separates the first, second, and fourth and proves their relationships (the third, thermodynamic admissibility, is out of scope here, per Proposition 2's layering), for the reasons Section 1.1 states — a point at which the Daly/Ayres tradition of throughput accounting meets the formalism of reaction-network theory (Feinberg, 2019; Brunner and Rechberger, 2004).",aligned passage,0.146,0.003,0.341,,,
D0303,supported (reworded),medium,3.1,"The third, thermodynamic admissibility, is out of scope here, per Proposition 2's layering.",3.1,"The four predicates of Section 1.1 — bookkeeping balance, stoichiometric conservation, thermodynamic admissibility, and sustainability safety — are this section's working layer: it separates the first, second, and fourth and proves their relationships (the third, thermodynamic admissibility, is out of scope here, per Proposition 2's layering), for the reasons Section 1.1 states — a point at which the Daly/Ayres tradition of throughput accounting meets the formalism of reaction-network theory (Feinberg, 2019; Brunner and Rechberger, 2004).",aligned passage,0.256,0.285,0.341,,,
D0304,supported (reworded),medium,3.1,"This is the point at which the Daly/Ayres tradition of throughput accounting meets the formalism of reaction-network theory (Feinberg, 2019; Brunner and Rechberger, 2004).",3.1,"The four predicates of Section 1.1 — bookkeeping balance, stoichiometric conservation, thermodynamic admissibility, and sustainability safety — are this section's working layer: it separates the first, second, and fourth and proves their relationships (the third, thermodynamic admissibility, is out of scope here, per Proposition 2's layering), for the reasons Section 1.1 states — a point at which the Daly/Ayres tradition of throughput accounting meets the formalism of reaction-network theory (Feinberg, 2019; Brunner and Rechberger, 2004).",aligned passage,0.403,0.453,0.341,,,
D0305,excluded: shared verbatim,n/a,3.1,The ledger supports three distinct predicates that are related but not identical.,,,identical text,1.0,1.0,,,,
D0306,supported (reworded),high,,"Layer 1 Accounting consistency the balance law (1) holds almost everywhere on [0,T] Layer 2 Conservation consistency ℓᵀSᵀ = 0 for every declared conserved quantity ℓ Layer 3 Barrier safety for declared lower and upper barriers, B_m(t) ≤ S_m(t) ≤ B̄_m(t) for every component m and every t ∈ [0,T], where S = Cx is the moiety-composition readout",3.1,"**Layer 3: Barrier safety.** For declared lower and upper barriers for every component and every , where is the moiety-composition readout.",aligned passage,0.537,0.587,0.476,,,
D0307,excluded: shared verbatim,n/a,3.1,Layer 2 is a structural predicate on the incidence operator alone.,,,identical text,1.0,1.0,,,,
D0308,excluded: shared verbatim,n/a,3.1,Layers 1 and 3 are properties of a trajectory triple .,,,identical text,1.0,1.0,,,,
D0309,supported (near-verbatim),high,3.1,The logical relations between them are the content of the next two propositions.,3.1,The logical relations are the content of the next two propositions.,aligned passage,0.886,0.91,1.0,,,
D0310,supported (near-verbatim),high,3.1,"**Proposition 1 (Layer 2 ⇒ Layer 1, for the conserved quantities).** *If , then , and in a closed system ( ) is invariant.*",3.1,"**Proposition 1.** *Conservation consistency implies accounting consistency for the conserved quantities: if , then , and in a closed system ( ), is invariant.*",aligned passage,0.696,0.775,0.6,,,
D0311,supported (reworded),medium,3.1,"In words: if a quantity is invisible to the wiring, it can only change through the boundary.",,"In a closed system is constant, and in an open system changes only through boundary flows.",elsewhere in the deposit,0.364,0.486,0.0,,,
D0312,supported (reworded),medium,3.1,Close the boundary and it cannot change at all.,,Three boundary facts complete the discipline.,elsewhere in the deposit,0.343,0.533,0.0,,,
