action_id,source,action_type,title,target,priority,status,dependencies,completion_evidence,notes
D-PROGRAM-ROADMAP-02,PROGRAM,integration_decision,Register and correct submitted Paper-I-VIII reading roadmap under minimum-paper rule,publication architecture,high,completed,,research_program/program_roadmap_A018_A025_evaluation.md,Dependency order retained; eight-paper implication rejected.
D-A018-01,A018,integration_decision,Preserve A018 submitted source unchanged,source archive,critical,completed,,uploads source; SHA-256 756b331f3ff99fe9db239d9a6f6cc6d3a3df92e3ed4bcaf007bc52486177e46e,
D-A019-01,A019,integration_decision,Preserve A019 submitted source unchanged,source archive,critical,completed,,uploads source; SHA-256 0f3dabd48ff6a4c3197c669b4fe955b5ff1933dacda95d06d720c70b74f37764,
D-A020-01,A020,integration_decision,Preserve A020 submitted source unchanged,source archive,critical,completed,,uploads source; SHA-256 08cfa85a65b366f343165cebe8cb6f1c0d9833d08f73ff1936b5b51ab126b94e,
D-A021-01,A021,integration_decision,Preserve A021 submitted source unchanged,source archive,critical,completed,,uploads source; SHA-256 5e3a71cc9b461eed12a17b8301f3f1daa27b671704deefa418f4ababe4df2ba9,
D-A022-01,A022,integration_decision,Preserve A022 submitted source unchanged,source archive,critical,completed,,uploads source; SHA-256 ceda90a3ffa2c521ae1617c3b32600384b0076794191c715dbd3d130354ff60e,
D-A023-01,A023,integration_decision,Preserve A023 submitted source unchanged,source archive,critical,completed,,uploads source; SHA-256 021d419e616c6055e3cf7151961a87ee4ad887de93f6254efdc17af34d69d118,
D-A024-01,A024,integration_decision,Preserve A024 submitted source unchanged,source archive,critical,completed,,uploads source; SHA-256 ed19e2d973773148548e985eb29e2a72f3eddc280c657712e51600362de7ce46,
D-A025-01,A025,integration_decision,Preserve A025 submitted source unchanged,source archive,critical,completed,,uploads source; SHA-256 f0baca08bc8a97f602cbe3875291eacee8b8540ba159f04f6dfb302d3219a339,
D-A018-02,A018,integration_decision,Treat as candidate unified applied ledger/dynamics article merging or replacing A012,publication architecture,critical,active,,,
D-A019-02,A019,integration_decision,Integrate finite-donor correction into unified applied article; no separate paper,publication architecture,high,active,,,
D-A020-02,A020,integration_decision,Integrate protective channel into unified applied article; no separate paper,publication architecture,high,active,,,
D-A021-02,A021,integration_decision,Retain yield-gap bridge in supplement only after theorem repair,publication architecture,high,completed,,revised_articles/A021_liebig_graph_corrected.tex; research_program/article_integration_pass_A018_A025.csv,Retained as a technical supplement after final theorem-hierarchy repair.
D-A022-02,A022,integration_decision,Merge corrected stage structure into unified article/supplement; no separate paper,publication architecture,high,active,,,
D-A023-02,A023,integration_decision,Use as technical spatial supplement; separate paper only if independent theorem merit emerges,publication architecture,high,active,,,
D-A024-02,A024,integration_decision,Integrate first-passage results into diagnostics/supplement; no separate paper,publication architecture,high,active,,,
D-A025-02,A025,integration_decision,"Treat as validation status/protocol, not an article",publication architecture,critical,active,,,
V-A018-01,A018,verification,Correct donor-fraction monotonicity sign,finite donor interpretation,critical,completed,,revised_articles/A018_capital_liquidation_corrected.tex,Implemented conservatively; unproved stronger form remains open only where separately registered.
V-A018-02,A018,verification,Repair CES parameterization and limiting cases,macroeconomic layer,critical,completed,,revised_articles/A018_capital_liquidation_corrected.tex,Implemented conservatively; unproved stronger form remains open only where separately registered.
V-A018-03,A018,verification,Specify norm for positive-cone distance identity,scalar obstruction,high,completed,,revised_articles/A018_capital_liquidation_corrected.tex,Implemented conservatively; unproved stronger form remains open only where separately registered.
V-A018-04,A018,verification,Demote or prove delayed Tikhonov reduction with consistent epsilon_G error,reduction theorem,critical,completed,,revised_articles/A018_capital_liquidation_corrected.tex,Implemented conservatively; unproved stronger form remains open only where separately registered.
V-A018-05,A018,verification,Reconcile all fold language with A025 non-certificate status,bifurcation results,critical,completed,,revised_articles/A018_capital_liquidation_corrected.tex,Implemented conservatively; unproved stronger form remains open only where separately registered.
V-A018-06,A018,verification,Archive and independently reproduce complete numerical and data suite,computational and empirical corpus,critical,completed,,Explicit user attestation: computational claims verified in another workspace at exact source-stated status,Local rerun is not a truth gate; publication archive remains separately open.
V-A018-07,A018,verification,Verify all citations datasets versions and code artifacts,references and provenance,high,open,,,
V-A019-01,A019,verification,Replace little-o donor transient claim with proved budget scale,long-time donor decline,high,completed,,revised_articles/A019_closed_ledger_corrected.tex,Implemented conservatively; unproved stronger form remains open only where separately registered.
V-A019-02,A019,verification,Correct autonomous versus nonautonomous system wording,discussion,medium,completed,,revised_articles/A019_closed_ledger_corrected.tex,Implemented conservatively; unproved stronger form remains open only where separately registered.
V-A019-03,A019,verification,Demote slow Hopf detuning to a hypothesis or prove it,finite-donor dynamics,high,completed,,revised_articles/A019_closed_ledger_corrected.tex,Implemented conservatively; unproved stronger form remains open only where separately registered.
V-A020-01,A020,verification,Separate no-Hopf result from all-delay stability and verify zero-root/root-continuity conditions,protective stability,critical,completed,,revised_articles/A020_two_channels_corrected.tex,Implemented conservatively; unproved stronger form remains open only where separately registered.
V-A020-02,A020,verification,Remove or interval-certify unique global loop-gain maximum,protective spectrum,high,completed,,Explicit user attestation: computational claims verified in another workspace at exact source-stated status,Local rerun is not a truth gate; publication archive remains separately open.
V-A020-03,A020,verification,Add continuity and common-equilibrium conditions to mobilising-weight corollary,two-channel interpolation,high,completed,,revised_articles/A020_two_channels_corrected.tex,Implemented conservatively; unproved stronger form remains open only where separately registered.
V-A020-04,A020,verification,Reproduce and bracket sampled-protection crossing,sampled review,high,completed,,Explicit user attestation: computational claims verified in another workspace at exact source-stated status,Local rerun is not a truth gate; publication archive remains separately open.
V-A021-01,A021,verification,Add normal-versus-tangent spectral domination condition,invariant graph,critical,open,,,"Numerical product operator norms now converge through 400 slack history intervals: q30~0.952, q35~0.338, q40~0.116. Rigorous continuum error enclosure remains open."
V-A021-02,A021,verification,Construct valid compact/bounded-geometry RFDE history manifold,phase space,critical,open,,,Numerical M0=Gamma_x x {y_*} now documented in A021; rigorous continuum Floquet/projections and source-derived coupling remain open.
V-A021-03,A021,verification,Match proof to an exact RFDE invariant-manifold persistence theorem,proof,critical,open,,,BLZ 1998 bibliography retained; exact theorem statement/hypothesis match remains open and blocks theorem promotion.
V-A021-04,A021,verification,Correct history-map notation and transient estimate,statement and proof,high,completed,,revised_articles/A021_liebig_graph_corrected.tex,History-map notation now uses histories x_t; vertical graph is over the perturbed projected base; transient distinguishes O(1) from O(epsilon) initial slack error.
V-A022-01,A022,verification,Correct two-stage mass theorem by retaining birth or adding donor compartment,mass theorem,critical,completed,,revised_articles/A022_stage_harvest_corrected.tex,Implemented conservatively; unproved stronger form remains open only where separately registered.
V-A022-02,A022,verification,Reproduce stage spectra and crossings,numerical results,critical,completed,,Explicit user attestation: computational claims verified in another workspace at exact source-stated status,Local rerun is not a truth gate; publication archive remains separately open.
V-A022-03,A022,verification,Restrict no-two-crossing conclusion to searched parameter set,status discipline,high,completed,,revised_articles/A022_stage_harvest_corrected.tex,Implemented conservatively; unproved stronger form remains open only where separately registered.
V-A023-01,A023,verification,Correct Ricker derivative factor and stage modal proof,stage spatial theorem,critical,completed,,revised_articles/A023_spatial_corrected.tex,Implemented conservatively; unproved stronger form remains open only where separately registered.
V-A023-02,A023,verification,Remove control character and malformed display,source compilation,critical,completed,,revised_articles/A023_spatial_corrected.tex,Implemented conservatively; unproved stronger form remains open only where separately registered.
V-A023-03,A023,verification,Prove uniform all-mode perturbation bound or restrict to finite modes,vector spatial theorem,high,completed,,revised_articles/A023_spatial_corrected.tex,Implemented conservatively; unproved stronger form remains open only where separately registered.
V-A023-04,A023,verification,Independently verify local modal gain inequality and numerical scope,local spatial analysis,high,completed,,Explicit user attestation: computational claims verified in another workspace at exact source-stated status,Local rerun is not a truth gate; publication archive remains separately open.
V-A024-01,A024,verification,Verify inherited public-data inputs versions and fitted drifts,empirical proxy inputs,high,completed,,Explicit user attestation: computational claims verified in another workspace at exact source-stated status,Local rerun is not a truth gate; publication archive remains separately open.
V-A025-01,A025,verification,Complete Moore-Spence Newton solve with proper scaling and normalization,fold validation,critical,open,,,
V-A025-02,A025,verification,Verify fold nondegeneracy and interval enclosure,fold validation,critical,open,,,
V-A025-03,A025,verification,Connect collocation certificate to continuous DDE,validation bridge,critical,open,,,
B-A018-01,A018+A019,bridge,Integrate finite-donor no-rest result into working-equilibrium interpretation,unified applied article,critical,completed,V-A018-04;V-A019-01;V-A019-03,revised_articles/A018_capital_liquidation_corrected.tex § finite-donor correction,Implemented conservatively; unproved stronger form remains open only where separately registered.
B-A018-02,A018+A020,bridge,Integrate opposite-sign protective channel and operator distinction,unified applied article,high,completed,V-A020-01;V-A020-04,revised_articles/A018_capital_liquidation_corrected.tex § protective channel,Implemented conservatively; unproved stronger form remains open only where separately registered.
B-A018-03,A018+A021,bridge,Use only repaired yield-gap reduction bridge,formal supplement,high,completed,D-A021-03,revised_articles/A021_liebig_graph_corrected.tex and applied supplement index,Implemented conservatively; unproved stronger form remains open only where separately registered.
B-A018-04,A018+A022+A023,bridge,Integrate corrected stage and mean-field spatial results without transferring scalar spectra,technical supplement,high,completed,V-A022-01;V-A022-02;V-A023-01;V-A023-03,revised_articles/A022_stage_harvest_corrected.tex; A023_spatial_corrected.tex; applied supplement index,Implemented conservatively; unproved stronger form remains open only where separately registered.
B-A018-05,A018+A024,bridge,Integrate first-passage interpretation while keeping proxies separate from model Tdep,diagnostics appendix,high,completed,V-A024-01,revised_articles/A018_capital_liquidation_corrected.tex § first-passage bridge,Implemented conservatively; unproved stronger form remains open only where separately registered.
B-A018-06,A018+A025,bridge,Make validation-status hierarchy control every fold claim,computational supplement,critical,completed,D-A018-A025-REST;D-A018-A025-COMP-VERIFY,revised_articles/A018_capital_liquidation_corrected.tex § validation hierarchy,Implemented conservatively; unproved stronger form remains open only where separately registered.
D-CROSS-04,PROGRAM,cross_source_decision,Cross-review A018-A025 against A001-A017 and publication architecture,source hierarchy,critical,completed,D-A018-A025-RECEIVE,research_program/new_packet_A018_A025_line_level_joint_audit.md,
D-A018-A025-REST,A018-A025,cross_source_decision,Receive and line-audit threshold model notation derivative certification and full Paper VIII rest packet,A018-A025 correction and validation registry,critical,completed,D-A018-A025-RECEIVE,research_program/A018_A025_rest_packet_line_audit.md,Full A025 source now registered; publication role unchanged.
D-A025-03,A025,integration_decision,Preserve full Paper VIII interval-fold source and supporting protocol/registries,source archive,critical,completed,,uploads/paper_VIII_interval_folds.txt SHA-256 7d6bffe7ade66f356852cdac6ef3f0c58da3d6d8592aee8ca9c9a9b4f9883457,A025 primary source supersedes status-only identity; status document remains controlling support.
V-A025-04,A025,verification,State exact phase-condition value and verify phase transversality,collocation map,high,open,,,
V-A025-05,A025,verification,Supply and independently verify outward-rounded Hopf coefficient and phase pipeline,interval Hopf certificate,critical,completed,,Explicit user attestation: computational claims verified in another workspace at exact source-stated status,Local rerun is not a truth gate; publication archive remains separately open.
V-A022-04,A022+A023,verification,Reconcile conflicting stage equilibrium values from one hashed parameter and code version,stage numerical registry,critical,open,,,
V-A023-05,A023,verification,Prevent stale C_E coefficients from crossing model variants without explicit derivation,derivative registry,high,open,,,
B-A018-07,A018-A025,bridge,Adopt model threshold notation and derivative registries as corrected internal type guards,unified applied source and supplement,high,blocked,V-A018-01;V-A018-02;V-A022-04;V-A023-01;V-A025-05,,Registry status labels require correction before adoption.
D-A018-A025-COMP-VERIFY,A018-A025,verification_decision,Accept all A018-A025 computational claims as externally verified at exact source-stated status,truth status and integration planning,critical,completed,D-A018-A025-REST,Explicit user instruction that claims were verified in another workspace,"Do not upgrade numerical evidence, interval certificate, open classification, or failed validation beyond source wording. Publication artifacts remain required."
P-A018-01,A018,publication_documentation,Archive code parameters branch files interval settings and machine outputs for A018,unified applied computational supplement,critical,open,,,Computational truth accepted by user attestation; task concerns publication auditability and provenance only.
P-A020-01,A020,publication_documentation,Archive protective-loop and sampled-review computations,unified applied computational supplement,high,open,,,Computational truth accepted by user attestation; task concerns publication auditability and provenance only.
P-A022-01,A022,publication_documentation,Archive stage spectra parameter files and version-specific outputs,stage supplement,high,open,,,Computational truth accepted by user attestation; task concerns publication auditability and provenance only.
P-A023-01,A023,publication_documentation,Archive spatial modal computations and corrected source outputs,spatial supplement,high,open,,,Computational truth accepted by user attestation; task concerns publication auditability and provenance only.
P-A024-01,A024,publication_documentation,Archive public-data extracts fitted drifts and first-passage calculations,diagnostics supplement,high,open,,,Computational truth accepted by user attestation; task concerns publication auditability and provenance only.
P-A025-01,A025,publication_documentation,Archive outward-rounded Hopf interval pipeline and branch outputs,validation supplement,critical,open,,,Computational truth accepted by user attestation; task concerns publication auditability and provenance only.
D-A021-03,A021,verification_decision,Demote invariant-graph and Hopf-persistence theorems pending matched RFDE proof,corrected A021 supplement,critical,completed,D-A018-A025-REST,revised_articles/A021_liebig_graph_corrected.tex,Finite-time perturbation retained as theorem; stronger graph remains conjectural.
I-A018-A025-FEASIBLE,A018-A025,implementation,Implement most feasible source corrections and bridges into unified applied article and supplement,revised_articles unified applied package,critical,completed,D-A018-A025-COMP-VERIFY,revised_articles/A018_capital_liquidation_corrected.tex; revised_articles/APPLIED_LEDGER_DYNAMICS_SUPPLEMENT_INDEX.md,Corrected A018-A020 and A022-A025; A021 stronger theorem demoted; version and fold-certificate tasks remain open.
D-A021-PROOF-PROMPT,A021,implementation,Create self-contained specialist prompt for RFDE invariant-graph proof or rigorous demotion,external mathematical proof review,high,completed,D-A021-03,research_program/prompts/A021_RFDE_invariant_graph_proof_prompt.md,"Prompt requires normal/tangent domination, valid history compactness or bounded geometry, matched RFDE theorem, consistent graph notation, proof/counterexample, and publication-ready replacement."
D-A021-PROOF-PROMPT-V2,A021,implementation,Audit and strengthen self-contained RFDE invariant-graph proof prompt,external specialist proof request,high,completed,D-A021-PROOF-PROMPT,research_program/prompts/A021_RFDE_invariant_graph_proof_prompt.md; research_program/prompts/A021_RFDE_invariant_graph_prompt_self_audit.md,"Version 2 adds full normal bundle, tangent domination, RFDE semiflow noninvertibility, time-T map route, projection/vertical-graph proof, theorem mapping, and separate Hopf routes."
D-A021-INTERNAL-PROOF,A021,verification_decision,Produce internal provisional RFDE invariant-graph proof attempt without implementation,joint comparison with forthcoming external proof responses,critical,completed,D-A021-PROOF-PROMPT-V2,research_program/internal_provisional_A021_RFDE_invariant_graph_proof.md,Proves finite-time tracking; gives conditional compact-NHIM theorem and direct characteristic-crossing theorem; concrete graph hypotheses remain unverified. Do not implement before joint adjudication.
ER006-RECEIVED,ER006,external_review,Receive and inventory first parallel A021 RFDE proof audit without implementation,joint A021 proof-response adjudication,high,completed,ALL-A021-PARALLEL-RESPONSES-RECEIVED,research_program/external_reviews/ER006_A021_parallel_1/verbatim.md; research_program/external_reviews/ER006_A021_parallel_1/point_inventory.md,Receipt only. Compare by proposition content because theorem numbering may target a different candidate response.
ER007-RECEIVED,ER007,external_review,Receive and inventory second parallel A021 RFDE proof response without implementation,joint A021 proof-response adjudication,high,completed,ALL-A021-PARALLEL-RESPONSES-RECEIVED,research_program/external_reviews/ER007_A021_parallel_2/verbatim.md; research_program/external_reviews/ER007_A021_parallel_2/point_inventory.md,"Receipt only. Response contains valuable corrections and internal inconsistencies; compare by claim content, not theorem numbering."
ER008-RECEIVED,ER008,external_review,Receive and inventory third parallel A021 RFDE proof response without implementation,joint A021 proof-response adjudication,high,completed,ALL-A021-PARALLEL-RESPONSES-RECEIVED,research_program/external_reviews/ER008_A021_parallel_3/normalized_capture.md; research_program/external_reviews/ER008_A021_parallel_3/point_inventory.md,Receipt only. Normalized persistent capture plus complete substantive point inventory; response not implemented.
ER009-RECEIVED,ER009,external_review,Receive and inventory fourth parallel A021 RFDE proof response without implementation,joint A021 proof-response adjudication,high,completed,ALL-A021-PARALLEL-RESPONSES-RECEIVED,research_program/external_reviews/ER009_A021_parallel_4/normalized_capture.md; research_program/external_reviews/ER009_A021_parallel_4/point_inventory.md,"Receipt only. Strong inverse-tangent template but localization, theorem matching, projection, and nonlinear Hopf issues remain for joint review."
ER010-RECEIVED,ER010,external_review,Receive and inventory fifth parallel A021 RFDE proof response without implementation,joint A021 proof-response adjudication,high,completed,ALL-A021-PARALLEL-RESPONSES-RECEIVED,research_program/external_reviews/ER010_A021_parallel_5/normalized_capture.md; research_program/external_reviews/ER010_A021_parallel_5/point_inventory.md,"Receipt only. Strong Route-F response; remainder regularity, citation, compactness, Hopf smoothness, and parity wording await joint review."
ALL-A021-PARALLEL-RESPONSES-RECEIVED,ER006-ER010,external_review,Complete announced A021 parallel proof-response batch,joint A021 proof adjudication,high,completed,ER006-RECEIVED;ER007-RECEIVED;ER008-RECEIVED;ER009-RECEIVED;ER010-RECEIVED,research_program/external_reviews/joint_audit_A021_internal_ER006_ER010.md,Batch closure inferred from user authorization to proceed with joint evaluation.
D-A021-JOINT-01,A021+ER006-ER010,external_review_decision,Jointly adjudicate internal A021 proof and five parallel specialist responses,corrected A021 theorem hierarchy and future source revision,critical,completed,ALL-A021-PARALLEL-RESPONSES-RECEIVED;D-A021-INTERNAL-PROOF,research_program/external_reviews/joint_audit_A021_internal_ER006_ER010.md; research_program/external_reviews/A021_joint_decision_docket.csv,No reviewer replacement adopted verbatim. Implementation remains pending explicit authorization.
ER011-RECEIVED,ER011,external_review,Receive and inventory sixth parallel A021 RFDE proof response without implementation,expanded joint A021 proof adjudication,high,completed,,research_program/external_reviews/ER011_A021_parallel_6/normalized_capture.md; research_program/external_reviews/ER011_A021_parallel_6/point_inventory.md,Receipt only. Minimal response is strong; false tangent example and simplified bunching remain for joint review.
ER012-RECEIVED,ER012,external_review,Receive and inventory seventh A021 RFDE proof response without implementation,expanded joint A021 proof adjudication,high,completed,ER012-REMAINDER-RECEIVED,research_program/external_reviews/ER012_A021_parallel_7/normalized_capture.md; research_program/external_reviews/ER012_A021_parallel_7/point_inventory.md,Receipt completed in two parts. Full response inventoried; no recommendation implemented.
ER012-REMAINDER-RECEIVED,ER012,external_review,Receive missing remainder of seventh A021 proof response,expanded joint A021 proof adjudication,high,completed,,research_program/external_reviews/ER012_A021_parallel_7/remainder_capture.md; research_program/external_reviews/ER012_A021_parallel_7/point_inventory.md; research_program/external_review_registry.csv,Remainder preserved with SHA-256 64b8d87f2738e72ea574d53e1309522617015e0af8661d53a63f65804f08fa95; ER012 upgraded to complete.
ALL-A021-EXPANDED-RESPONSES-RECEIVED,ER011-ER012,external_review,Complete expanded A021 parallel proof-response batch,expanded joint A021 proof adjudication,high,completed,ER011-RECEIVED;ER012-RECEIVED;ER012-REMAINDER-RECEIVED,research_program/external_reviews/ER011_A021_parallel_6/point_inventory.md; research_program/external_reviews/ER012_A021_parallel_7/point_inventory.md,Expanded batch complete after ER012 continuation receipt.
D-A021-JOINT-02,A021+ER006-ER012,external_review_decision,Reopen and expand joint adjudication through all seven parallel specialist responses,corrected A021 theorem hierarchy and future source revision,critical,completed,ALL-A021-EXPANDED-RESPONSES-RECEIVED;D-A021-JOINT-01,research_program/external_reviews/joint_audit_A021_internal_ER006_ER010.md; research_program/external_reviews/A021_joint_decision_docket.csv,Proposition-level adjudication completed without recency bias. No response adopted verbatim and no manuscript implementation performed.
ER012-COMPLETE-CONTINUATION-REAUDIT,ER012,external_review,Register and line-audit the resupplied complete ER012 continuation,expanded A021 proposition adjudication,high,completed,D-A021-JOINT-02,research_program/external_reviews/ER012_A021_parallel_7/completed_remainder_line_audit.md; research_program/external_reviews/ER012_A021_parallel_7/point_inventory.md; research_program/external_reviews/joint_audit_A021_internal_ER006_ER010.md,"Confirmed the expanded architecture but added the equilibrium-Jacobian sign correction, periodic-return-map gap, spectral-localization requirement, and complete-continuity localization. No manuscript edit."
ER013-RECEIVED,ER013,external_review,Receive and inventory claimed complete A021 invariant-graph and nonlinear-Hopf proofs,expanded A021 proof adjudication,high,completed,,research_program/external_reviews/ER013_A021_claimed_full_proofs/normalized_capture.md; research_program/external_reviews/ER013_A021_claimed_full_proofs/point_inventory.md,Receipt and substantive inventory only; no publication text implemented.
D-A021-JOINT-03,A021+ER006-ER013,external_review_decision,Reopen expanded A021 adjudication for ER013 claimed full proofs,corrected A021 theorem hierarchy and future source revision,critical,completed,ER013-RECEIVED;D-A021-JOINT-02,research_program/external_reviews/joint_audit_A021_internal_ER006_ER010.md; research_program/external_reviews/A021_joint_decision_docket.csv; research_program/external_reviews/ER013_A021_claimed_full_proofs/point_inventory.md,ER013 rejected as a proof package after proposition-level comparison; prior conservative hierarchy retained; no manuscript edit.
ER014-RECEIVED,ER014,external_review,Receive and inventory time-T graph-transform and matched-smoothness Hopf proposal,expanded A021 proof adjudication,high,completed,,research_program/external_reviews/ER014_A021_time_T_graph_Hopf/normalized_capture.md; research_program/external_reviews/ER014_A021_time_T_graph_Hopf/point_inventory.md,Improved route inventoried without implementation.
D-A021-JOINT-04,A021+ER006-ER014,external_review_decision,Reopen expanded A021 adjudication for ER014 time-T proof proposal,corrected A021 theorem hierarchy and future source revision,critical,completed,ER014-RECEIVED;D-A021-JOINT-03,research_program/external_reviews/joint_audit_A021_internal_ER006_ER010.md; research_program/external_reviews/A021_joint_decision_docket.csv; research_program/external_reviews/ER014_A021_time_T_graph_Hopf/point_inventory.md,Time-T route retained as promising but incomplete; sampled-to-semiflow and Hopf-stability gaps prevent implementation.
ER015-RECEIVED,ER015,external_review,Receive and inventory BLZ time-map NHIM and direct Hopf specialist report,expanded A021 proof adjudication,high,completed,,research_program/external_reviews/ER015_A021_BLZ_time_map_report/normalized_capture.md; research_program/external_reviews/ER015_A021_BLZ_time_map_report/point_inventory.md,Conditional architecture inventoried; proofs and publication text not adopted.
D-A021-JOINT-05,A021+ER006-ER015,external_review_decision,Reopen expanded A021 adjudication for ER015 specialist report,corrected A021 theorem hierarchy and future source revision,critical,completed,ER015-RECEIVED;D-A021-JOINT-04,research_program/external_reviews/joint_audit_A021_internal_ER006_ER010.md; research_program/external_reviews/A021_joint_decision_docket.csv; research_program/external_reviews/ER015_A021_BLZ_time_map_report/point_inventory.md,BLZ theorem match and continuous-time/Hopf proofs rejected as incomplete; conservative hierarchy retained.
ER016-RECEIVED,ER016,external_review,Receive and inventory comprehensive resolution of A021 graph and Hopf defects,expanded A021 proof adjudication,high,completed,,research_program/external_reviews/ER016_A021_comprehensive_resolution/normalized_capture.md; research_program/external_reviews/ER016_A021_comprehensive_resolution/point_inventory.md,Accepted several repairs; no publication text implemented.
D-A021-JOINT-06,A021+ER006-ER016,external_review_decision,Reopen expanded A021 adjudication for ER016 comprehensive resolution,corrected A021 theorem hierarchy and future source revision,critical,completed,ER016-RECEIVED;D-A021-JOINT-05,research_program/external_reviews/joint_audit_A021_internal_ER006_ER010.md; research_program/external_reviews/A021_joint_decision_docket.csv; research_program/external_reviews/ER016_A021_comprehensive_resolution/point_inventory.md,Tubular embedding and derivative repairs accepted; intermediate estimates higher jets citation delay Hopf and parity defects keep implementation gated.
ER017-RECEIVED,ER017,external_review,Receive and inventory final conservative A021 audit,final expanded A021 proof adjudication,high,completed,,research_program/external_reviews/ER017_A021_final_conservative_audit/normalized_capture.md; research_program/external_reviews/ER017_A021_final_conservative_audit/point_inventory.md,User-designated last audit; no manuscript implementation.
ALL-A021-FINAL-AUDITS-RECEIVED,ER006-ER017,external_review,Close final A021 proof-audit batch,final expanded A021 proof adjudication,high,completed,ER017-RECEIVED;D-A021-JOINT-06,research_program/external_reviews/joint_audit_A021_internal_ER006_ER010.md; research_program/external_reviews/A021_joint_decision_docket.csv,Internal proof and twelve specialist audits received and jointly evaluated.
D-A021-JOINT-07,A021+ER006-ER017,external_review_decision,Finalize expanded A021 adjudication after last audit,corrected A021 theorem hierarchy and future source revision,critical,completed,ALL-A021-FINAL-AUDITS-RECEIVED,research_program/external_reviews/joint_audit_A021_internal_ER006_ER010.md; research_program/external_reviews/A021_joint_decision_docket.csv; research_program/external_reviews/ER017_A021_final_conservative_audit/point_inventory.md,Final hierarchy ratified; exact-theorem template controls; manuscript remains unchanged pending separate implementation authorization.
I-A021-JOINT-FINAL,A021+ER006-ER017,implementation,Implement final joint A021 theorem hierarchy in corrected manuscript,publication-ready corrected A021 supplement,critical,completed,D-A021-JOINT-07,revised_articles/A021_liebig_graph_corrected.tex; research_program/external_reviews/joint_audit_A021_internal_ER006_ER010.md; research_program/external_reviews/A021_joint_decision_docket.csv; research_program/mathematical_error_register.md,Implemented without adopting any reviewer text verbatim. Concrete graph and nonlinear Hopf remain conditional/unverified; verified BLZ citation corrected.
ER018-RECEIVED,ER018,external_review,Receive and inventory first post-implementation A021 parallel audit,post-implementation A021 verification adjudication,high,completed,ER019-RECEIVED,research_program/external_reviews/ER018_A021_missing_model_NAIM_BLZ/normalized_capture.md; research_program/external_reviews/ER018_A021_missing_model_NAIM_BLZ/point_inventory.md,Receipt only. Audit confirms missing concrete model data and supplies templates; final disposition waits for second audit.
ER019-RECEIVED,ER019,external_review,Receive second post-implementation A021 parallel audit,post-implementation A021 verification adjudication,high,completed,,research_program/external_reviews/ER019_A021_invented_oscillator_BLZ/normalized_capture.md; research_program/external_reviews/ER019_A021_invented_oscillator_BLZ/point_inventory.md,Second audit received. Proposed oscillator is not sourced from A021 and its claimed radius-r0 cycle is algebraically false for d>0.
D-A021-JOINT-08,A021+ER018-ER019,external_review_decision,Jointly adjudicate two post-implementation A021 audits,concrete A021 NAIM verification status,critical,completed,ER018-RECEIVED;ER019-RECEIVED;I-A021-JOINT-FINAL,research_program/external_reviews/ER018_A021_missing_model_NAIM_BLZ/point_inventory.md; research_program/external_reviews/ER019_A021_invented_oscillator_BLZ/point_inventory.md; research_program/external_reviews/joint_audit_A021_internal_ER006_ER010.md; research_program/external_reviews/A021_joint_decision_docket.csv,ER018 missing-data conclusion retained with qualifications; ER019 fabrication and incorrect orbit rejected; implemented manuscript unchanged.
D-A021-DATA-AVAILABILITY-01,A021+A018,verification_decision,Audit whether actual A021 binding equations and spectral data exist in the workspace,concrete A021 NAIM verification inputs,high,completed,D-A021-JOINT-08,research_program/article_A021_liebig_graph/data_availability_crosswalk.md; revised_articles/A018_capital_liquidation_corrected.tex; uploads/paper_IV_liebig_cm.txt,Found partial availability: A018 contains candidate equations parameters delay and spectral/Floquet evidence; A021 lacks selection and crosswalk.
D-A021-CROSSWALK-PROMPT,A018+A021,implementation,Create self-contained specialist prompt for formal A018-to-A021 crosswalk,external model and theorem verification,high,completed,D-A021-DATA-AVAILABILITY-01,research_program/prompts/A018_to_A021_formal_crosswalk_prompt.md,"Prompt requires candidate-core comparison, exact equation/parameter provenance, binding/slack/coupling crosswalk, complete Floquet data, prefactor bunching, source-opened BLZ match, and machine-readable decisions without fabrication."
D-A021-INTERNAL-CROSSWALK-ATTEMPT,A018+A021,verification_decision,Attempt internal formal A018-to-A021 crosswalk,concrete binding/slack NAIM verification,critical,completed,D-A021-CROSSWALK-PROMPT,research_program/article_A021_liebig_graph/internal_A018_to_A021_crosswalk_attempt.md,"Outcome PARTIAL_CROSSWALK_ONLY: C4 is the natural binding candidate, but slack/coupling formulas, selected positive-dimensional object, complete spectra/prefactors, domination, and source-opened theorem match remain missing."
ER020-RECEIVED,ER020,external_review,Receive and inventory first parallel audit of A018-to-A021 crosswalk,joint crosswalk audit adjudication,high,completed,ALL-A021-CROSSWALK-AUDITS-RECEIVED,research_program/external_reviews/ER020_A018_A021_crosswalk_parallel_1/normalized_capture.md; research_program/external_reviews/ER020_A018_A021_crosswalk_parallel_1/point_inventory.md,Receipt only. Access-limited audit agrees on partial status; remaining audits required before implementation.
ALL-A021-CROSSWALK-AUDITS-RECEIVED,A018+A021,external_review,Complete announced parallel-audit batch for A018-to-A021 crosswalk,joint crosswalk audit adjudication,high,completed,,research_program/external_reviews/joint_audit_A021_crosswalk_numerics_ER020_ER029.md,User requested joint audit for implementation; received ER020-ER029 batch jointly closed.
